epoch_ms,watts
1789775104111,30.6
1789775104239,30.63
1789775104367,30.65
1789775104495,30.62
1789775104631,30.68
1789775104767,30.57
1789775104903,30.58
1789775105039,30.64
1789775105166,30.57
1789775105302,30.61
1789775105430,30.51
1789775105566,30.67
1789775105694,30.6
1789775105830,30.61
1789775105966,30.6
1789775106095,30.63
1789775106231,30.61
1789775106359,30.63
1789775106495,30.55
1789775106622,30.6
1789775106759,30.67
1789775106895,30.67
1789775107022,30.63
1789775107151,30.56
1789775107287,30.66
1789775107422,30.57
1789775107549,30.6
1789775107676,30.7
1789775107813,30.68
1789775107949,30.54
1789775108086,30.56
1789775108222,30.61
1789775108359,30.62
1789775108495,30.68
1789775108631,30.61
1789775108767,30.54
1789775108903,30.61
1789775109029,30.57
1789775109157,30.64
1789775109294,30.57
1789775109422,30.61
1789775109558,30.61
1789775109694,30.57
1789775109824,30.59
1789775109951,30.6
1789775110079,30.61
1789775110215,30.6
1789775110343,30.63
1789775110481,30.64
1789775110618,30.63
1789775110746,30.6
1789775110874,30.68
1789775111010,30.6
1789775111137,30.54
1789775111274,30.57
1789775111410,30.6
1789775111546,30.62
1789775111682,30.64
1789775111818,30.51
1789775111946,30.58
1789775112074,30.69
1789775112208,30.62
1789775112325,30.66
1789775112442,30.66
1789775112559,54.26
1789775112675,54.26
1789775112791,54.11
1789775112907,54.17
1789775113023,54.44
1789775113139,54.5
1789775113254,54.78
1789775113370,54.92
1789775113486,54.92
1789775113602,54.86
1789775113719,54.67
1789775113834,55.16
1789775113950,55.01
1789775114065,55.16
1789775114181,55.16
1789775114297,55.36
1789775114412,55.36
1789775114529,55.52
1789775114644,55.53
1789775114760,55.59
1789775114875,55.67
1789775114992,55.41
1789775115107,55.49
1789775115223,55.49
1789775115339,55.49
1789775115454,55.76
1789775115570,55.74
1789775115686,55.8
1789775115801,55.92
1789775115917,56.06
1789775116032,56.05
1789775116147,56.05
1789775116263,55.9
1789775116379,56.04
1789775116495,56
1789775116611,56.06
1789775116726,56.32
1789775116842,56.25
1789775116958,56.25
1789775117074,56.3
1789775117190,56.38
1789775117306,56.11
1789775117422,56.25
1789775117537,56.32
1789775117653,56.2
1789775117769,56.2
1789775117884,56.44
1789775117999,56.41
1789775118115,56.57
1789775118231,56.68
1789775118347,56.41
1789775118462,56.48
1789775118578,56.41
1789775118693,56.41
1789775118808,56.61
1789775118924,56.68
1789775119040,56.81
1789775119155,56.84
1789775119271,55.92
1789775119387,56.88
1789775119503,56.88
1789775119619,56.71
1789775119734,56.79
1789775119849,56.81
1789775119965,56.91
1789775120081,57.02
1789775120197,56.95
1789775120312,57.01
1789775120427,57.01
1789775120543,57.26
1789775120659,56.9
1789775120774,56.86
1789775120890,56.84
1789775121006,56.99
1789775121121,57.21
1789775121237,57.21
1789775121353,57.29
1789775121469,57.1
1789775121585,56.59
1789775121701,57.19
1789775121817,57.11
1789775121932,57.25
1789775122049,57.25
1789775122164,57.19
1789775122279,57.27
1789775122395,57.52
1789775122511,57.46
1789775122626,57.49
1789775122742,57.69
1789775122858,57.35
1789775122974,57.35
1789775123089,57.36
1789775123205,57.38
1789775123321,57.52
1789775123436,57.55
1789775123552,57.88
1789775123668,57.67
1789775123783,57.67
1789775123899,57.39
1789775124016,57.55
1789775124131,57.38
1789775124247,57.55
1789775124363,57.29
1789775124478,57.56
1789775124594,57.71
1789775124709,57.71
1789775124825,57.76
1789775124941,57.88
1789775125060,33.84
1789775125196,33.63
1789775125324,33.46
1789775125460,33.4
1789775125596,33.3
1789775125725,33.22
1789775125853,33.07
1789775125989,33
1789775126116,32.96
1789775126253,32.87
1789775126389,32.9
1789775126525,32.74
1789775126653,32.74
1789775126780,32.74
1789775126908,32.68
1789775127036,32.64
1789775127172,32.51
1789775127308,32.63
1789775127433,32.58
1789775127570,32.68
1789775127707,32.54
1789775127843,32.56
1789775127970,32.37
1789775128099,32.45
1789775128234,32.46
1789775128362,32.41
1789775128489,32.33
1789775128625,32.46
1789775128761,32.32
1789775128889,32.33
1789775129025,32.23
1789775129161,32.36
1789775129297,32.3
1789775129434,32.28
