epoch_ms,watts
1789778925799,27.03
1789778925927,26.97
1789778926048,26.98
1789778926178,27.0
1789778926299,26.97
1789778926429,26.97
1789778926549,27.03
1789778926679,27.01
1789778926809,27.01
1789778926939,27.07
1789778927060,27.03
1789778927190,27.01
1789778927320,27.07
1789778927447,27.03
1789778927578,27.01
1789778927708,26.97
1789778927838,27.03
1789778927968,27.1
1789778928097,27.07
1789778928228,27.03
1789778928357,27.03
1789778928473,27.01
1789778928594,27.03
1789778928723,27.06
1789778928839,26.97
1789778928969,26.97
1789778929099,27.07
1789778929219,27.07
1789778929339,27.0
1789778929454,26.97
1789778929583,27.03
1789778929712,26.97
1789778929842,27.01
1789778929957,26.98
1789778930075,27.03
1789778930204,27.07
1789778930334,27.06
1789778930453,27.06
1789778930583,26.98
1789778930713,27.03
1789778930843,27.03
1789778930974,26.97
1789778931105,27.03
1789778931234,26.97
1789778931362,26.97
1789778931483,27.03
1789778931605,26.94
1789778931736,27.04
1789778931866,27.03
1789778931982,27.01
1789778932097,29.89
1789778932212,29.82
1789778932326,29.9
1789778932440,29.26
1789778932554,29.26
1789778932669,29.79
1789778932805,29.79
1789778932920,40.05
1789778933035,39.2
1789778933149,40.0
1789778933264,40.14
1789778933378,40.22
1789778933493,34.77
1789778933607,34.77
1789778933722,40.28
1789778933837,40.32
1789778933951,39.46
1789778934066,40.39
1789778934181,40.51
1789778934296,39.6
1789778934411,39.6
1789778934525,40.53
1789778934640,40.48
1789778934755,40.58
1789778934869,35.14
1789778934984,40.48
1789778935098,40.62
1789778935214,40.62
1789778935328,39.85
1789778935443,40.64
1789778935557,40.71
1789778935672,40.76
1789778935787,35.09
1789778935901,40.75
1789778936016,40.75
1789778936130,40.63
1789778936245,39.71
1789778936360,35.22
1789778936477,35.12
1789778936598,35.12
1789778936728,35.12
1789778936850,27.65
1789778936979,27.57
1789778937110,27.52
1789778937239,27.52
1789778937368,27.4
1789778937488,27.48
1789778937617,27.43
1789778937747,27.4
1789778937876,27.47
1789778938005,27.44
1789778938126,27.44
1789778938248,27.34
1789778938377,27.38
1789778938507,27.38
1789778938628,27.43
1789778938758,27.38
1789778938889,27.31
1789778939019,27.38
1789778939149,27.34
1789778939278,27.38
1789778939409,27.35
1789778939534,27.29
1789778939651,27.31
1789778939771,27.29
1789778939901,27.25
1789778940030,27.21
1789778940161,27.25
1789778940282,27.29
1789778940402,27.29
1789778940517,27.28
1789778940631,31.74
1789778940773,31.74
1789778940889,43.54
1789778941003,43.61
1789778941118,43.61
1789778941232,43.73
1789778941346,43.79
1789778941461,43.84
1789778941575,43.84
1789778941689,43.88
1789778941803,43.88
1789778941918,43.96
1789778942033,43.93
1789778942148,44.03
1789778942263,44.09
1789778942378,44.09
1789778942493,37.13
1789778942608,37.19
1789778942722,37.19
1789778942837,37.1
1789778942952,32.17
1789778943070,32.17
1789778943175,44.07
1789778943305,44.07
1789778943420,37.05
1789778943534,37.05
1789778943648,37.14
1789778943763,37.14
1789778943878,32.25
1789778944034,32.25
1789778944147,44.06
1789778944262,37.23
1789778944376,37.21
1789778944490,37.21
1789778944604,37.12
1789778944719,28.07
1789778944855,28.07
1789778944976,35.31
1789778945106,35.34
1789778945235,35.31
1789778945354,35.35
1789778945476,35.32
1789778945605,35.32
1789778945742,35.32
1789778945863,27.74
1789778945993,27.71
1789778946122,27.74
1789778946243,27.71
1789778946364,27.71
1789778946486,27.71
