epoch_ms,watts
1789779088507,26.92
1789779088634,26.89
1789779088752,26.91
1789779088872,26.91
1789779088991,26.88
1789779089111,26.92
1789779089229,26.92
1789779089348,26.79
1789779089472,26.86
1789779089592,26.89
1789779089710,26.88
1789779089829,26.88
1789779089950,26.88
1789779090071,26.88
1789779090191,26.88
1789779090310,26.85
1789779090428,26.85
1789779090547,26.92
1789779090665,26.84
1789779090788,26.84
1789779090909,26.88
1789779091028,26.83
1789779091148,26.89
1789779091270,26.92
1789779091388,26.88
1789779091509,26.91
1789779091627,26.91
1789779091746,26.88
1789779091864,26.88
1789779091984,26.83
1789779092101,26.79
1789779092219,26.88
1789779092339,26.88
1789779092457,26.95
1789779092576,26.76
1789779092696,26.76
1789779092814,26.76
1789779092934,26.83
1789779093053,26.83
1789779093171,26.89
1789779093290,26.88
1789779093409,26.83
1789779093528,26.76
1789779093646,26.8
1789779093764,26.8
1789779093882,26.85
1789779094000,26.83
1789779094119,26.85
1789779094238,26.96
1789779094359,26.89
1789779094478,26.8
1789779094599,26.86
1789779094726,29.61
1789779094847,29.62
1789779094965,29.62
1789779095084,29.74
1789779095209,29.74
1789779095330,39.74
1789779095449,39.83
1789779095569,39.84
1789779095689,39.93
1789779095809,40.02
1789779095928,40.17
1789779096049,39.98
1789779096169,40.08
1789779096288,40.18
1789779096407,40.18
1789779096529,40.12
1789779096648,40.3
1789779096767,40.43
1789779096888,34.77
1789779097009,40.35
1789779097132,40.38
1789779097251,34.89
1789779097369,40.33
1789779097489,40.54
1789779097613,40.54
1789779097734,34.98
1789779097853,40.43
1789779097973,40.44
1789779098095,34.91
1789779098213,40.54
1789779098335,40.47
1789779098455,35.02
1789779098578,40.57
1789779098696,40.67
1789779098815,40.67
1789779098934,35.03
1789779099055,34.99
1789779099175,34.95
1789779099312,34.95
1789779099433,27.55
1789779099551,27.48
1789779099670,27.35
1789779099788,27.34
1789779099907,27.29
1789779100022,27.31
1789779100138,27.35
1789779100254,27.35
1789779100369,27.32
1789779100484,27.32
1789779100600,27.26
1789779100716,27.23
1789779100832,27.28
1789779100948,27.19
1789779101063,27.19
1789779101178,27.3
1789779101294,27.3
1789779101410,27.18
1789779101532,27.24
1789779101647,27.14
1789779101762,27.21
1789779101877,27.21
1789779101993,27.21
1789779102107,27.2
1789779102222,27.16
1789779102338,27.16
1789779102453,27.18
1789779102571,27.15
1789779102690,27.15
1789779102808,27.22
1789779102924,27.22
1789779103039,27.12
1789779103157,27.1
1789779103277,31.58
1789779103399,31.54
1789779103518,31.53
1789779103639,31.62
1789779103761,31.66
1789779103880,31.62
1789779104001,31.31
1789779104147,31.31
1789779104266,43.37
1789779104386,42.52
1789779104507,43.46
1789779104628,43.46
1789779104746,43.56
1789779104865,43.62
1789779104999,43.73
1789779105123,43.73
1789779105244,43.74
1789779105364,43.81
1789779105488,43.8
1789779105609,43.85
1789779105729,43.84
1789779105847,43.89
1789779105968,43.89
1789779106088,43.89
1789779106208,40.85
1789779106328,43.97
1789779106448,44.18
1789779106569,44.03
1789779106691,44.03
1789779106803,37.09
1789779106922,30.99
1789779107041,37.09
1789779107164,32.11
1789779107290,32.11
1789779107410,35.2
1789779107530,35.13
1789779107653,35.23
1789779107774,35.23
1789779107897,35.17
1789779108020,35.04
1789779108139,35.23
1789779108261,35.23
1789779108381,27.56
1789779108501,27.56
1789779108621,27.53
1789779108740,27.57
1789779108861,27.55
1789779108981,27.48
1789779109102,27.46
1789779109222,27.47
1789779109341,27.37
1789779109456,27.37
1789779109572,27.48
1789779109688,27.42
1789779109803,27.4
1789779109925,27.43
1789779110046,27.36
1789779110169,27.3
1789779110290,27.26
1789779110413,27.46
1789779110534,27.46
1789779110654,27.42
1789779110775,27.35
1789779110896,27.34
1789779111015,27.29
1789779111136,27.26
1789779111256,27.28
1789779111416,27.28
1789779111538,27.33
1789779111659,27.29
1789779111782,33.29
1789779111901,33.18
1789779112020,33.29
1789779112159,33.29
1789779112274,46.4
1789779112390,46.4
1789779112504,46.57
1789779112620,46.59
1789779112735,46.6
1789779112850,46.78
1789779112965,46.88
1789779113123,46.88
1789779113238,38.5
1789779113353,38.52
1789779113468,38.49
1789779113584,33.68
1789779113722,33.68
1789779113837,46.89
1789779113957,46.89
1789779114073,38.56
