epoch_ms,minion_mhz,watts
1789784094865,600,32.7
1789784095097,600,32.7
1789784095333,600,32.67
1789784095592,600,32.72
1789784095850,600,32.72
1789784096118,600,32.66
1789784096370,600,32.71
1789784096629,600,32.67
1789784096889,600,32.64
1789784097157,600,32.77
1789784097408,600,32.71
1789784097676,600,32.71
1789784097935,600,32.63
1789784098185,600,32.59
1789784098417,600,32.71
1789784098672,600,32.71
1789784098940,600,32.64
1789784099192,600,32.63
1789784099451,600,32.67
1789784099710,600,32.67
1789784099969,600,32.68
1789784100225,600,32.68
1789784100484,600,32.67
1789784100742,600,32.73
1789784100993,600,32.66
1789784101252,600,32.71
1789784101509,600,32.71
1789784101744,600,32.71
1789784102003,600,32.7
1789784102260,600,32.6
1789784102510,600,32.68
1789784102766,600,32.63
1789784103023,600,32.68
1789784103282,600,32.68
1789784103541,600,32.71
1789784103790,600,32.7
1789784104050,600,32.67
1789784104308,600,32.67
1789784104556,600,32.7
1789784104811,600,32.69
1789784105043,600,32.71
1789784105302,600,32.64
1789784105559,600,32.71
1789784105818,600,32.71
1789784106078,600,32.65
1789784106336,600,32.71
1789784106583,600,32.66
1789784106839,600,32.7
1789784107096,600,32.66
1789784107361,600,32.7
1789784107621,600,32.6
1789784107872,600,32.71
1789784108139,600,32.7
1789784108373,600,32.75
1789784108638,600,32.71
1789784108903,600,32.6
1789784109154,600,32.71
1789784109412,600,32.71
1789784109669,600,32.43
1789784109932,600,32.66
1789784110183,600,32.68
1789784110419,600,32.71
1789784110668,600,32.63
1789784110926,600,32.57
1789784111185,600,32.64
1789784111442,600,32.56
1789784111676,600,32.63
1789784111928,600,32.67
1789784112188,600,32.72
1789784112455,600,32.73
1789784112712,600,32.63
1789784112962,600,32.66
1789784113222,600,32.67
1789784113473,600,32.64
1789784113732,600,32.63
1789784113992,600,32.64
1789784114241,600,32.68
1789784114498,600,32.64
1789784114757,600,32.62
1789784114991,600,32.74
1789784115248,600,32.65
1789784115481,600,32.65
1789784115713,600,32.67
1789784115948,600,32.72
1789784116206,600,32.66
1789784116457,600,32.71
1789784116716,600,32.64
1789784116973,600,32.72
1789784117234,600,32.6
1789784117484,600,32.74
1789784117747,600,32.67
1789784117996,600,32.65
1789784118227,600,32.7
1789784118486,600,32.72
1789784118743,600,32.56
1789784119002,600,32.56
1789784119260,600,32.67
1789784119510,600,32.71
1789784119759,600,32.63
1789784120011,600,32.66
1789784120270,600,32.7
1789784120521,600,32.6
1789784120779,600,32.64
1789784121029,600,32.63
1789784121267,600,32.64
1789784121511,600,32.68
1789784121764,600,32.66
1789784122023,600,32.7
1789784122278,600,32.7
1789784122530,600,32.63
1789784122790,600,32.71
1789784123049,600,32.6
1789784123305,600,32.6
1789784123563,600,32.48
1789784123830,600,32.66
1789784124081,600,32.64
epoch_ms,minion_mhz,watts
1789784152284,600,32.53
1789784152516,600,32.49
1789784152749,600,32.44
1789784153009,600,32.47
1789784153265,600,32.54
1789784153516,600,32.54
1789784153775,600,32.53
1789784154025,600,32.53
1789784154283,600,32.54
1789784154534,600,32.54
1789784154785,600,32.51
1789784155044,600,32.51
1789784155294,600,32.49
1789784155545,600,32.47
1789784155801,600,32.63
1789784156035,600,32.54
1789784156285,600,32.66
1789784156542,600,32.5
1789784156793,600,32.59
1789784157042,600,32.63
1789784157292,600,32.5
1789784157552,600,32.45
1789784157807,600,32.47
1789784158065,600,32.44
1789784158316,600,32.53
1789784158579,600,32.48
1789784158829,600,32.54
1789784159076,600,32.55
1789784159307,600,32.46
1789784159557,600,32.43
1789784159802,600,32.56
1789784160048,600,32.54
1789784160307,600,32.36
1789784160559,600,32.57
1789784160808,600,32.45
1789784161067,600,32.51
1789784161327,600,32.57
1789784161587,600,32.5
1789784161838,600,32.53
1789784162096,600,32.45
1789784162353,600,32.45
1789784162586,600,32.47
1789784162831,600,32.5
1789784163088,600,32.4
1789784163347,600,32.53
1789784163605,600,32.44
1789784163863,600,32.46
1789784164123,600,32.51
1789784164383,600,32.5
1789784164651,600,32.47
1789784164908,600,32.54
1789784165166,600,32.4
1789784165417,600,32.45
1789784165673,600,32.45
1789784165904,600,32.45
1789784166163,600,32.5
1789784166411,600,32.53
1789784166669,600,32.48
1789784166926,600,32.49
1789784167182,600,32.53
1789784167441,600,32.49
1789784167699,600,32.49
1789784167937,600,32.51
1789784168170,600,32.45
1789784168402,600,32.45
1789784168634,600,32.43
1789784168865,600,32.44
1789784169098,600,32.43
1789784169330,600,32.52
1789784169561,600,32.41
1789784169796,600,32.55
1789784170044,600,32.46
