epoch_ms,watts,minion_mhz,minion_mv
1789784552988,34.24,600.0,518.0
1789784553128,34.31,600.0,518.0
1789784553204,34.31,600.0,518.0
1789784553284,34.34,600.0,518.0
1789784553353,34.26,600.0,518.0
1789784553487,34.26,600.0,518.0
1789784553566,34.26,600.0,518.0
1789784553646,34.26,600.0,518.0
1789784553716,34.26,600.0,518.0
1789784553847,34.34,600.0,518.0
1789784553915,34.32,600.0,518.0
1789784553994,34.32,600.0,518.0
1789784554066,34.3,600.0,518.0
1789784554198,34.29,600.0,518.0
1789784554277,34.29,600.0,518.0
1789784554355,34.26,600.0,518.0
1789784554423,34.26,600.0,518.0
1789784554549,34.29,600.0,518.0
1789784554628,34.27,600.0,518.0
1789784554708,34.23,600.0,518.0
1789784554787,34.23,600.0,518.0
1789784554919,34.24,600.0,518.0
1789784554987,34.26,600.0,518.0
1789784555068,34.26,600.0,518.0
1789784555148,34.33,600.0,518.0
1789784555281,34.35,600.0,518.0
1789784555360,34.35,600.0,518.0
1789784555440,34.31,600.0,518.0
1789784555512,34.31,600.0,518.0
1789784555645,34.26,600.0,518.0
1789784555724,34.26,600.0,518.0
1789784555803,34.36,600.0,518.0
1789784555874,34.36,600.0,518.0
1789784555997,34.2,600.0,518.0
1789784556063,34.26,600.0,518.0
1789784556134,34.26,600.0,518.0
1789784556204,34.21,600.0,518.0
1789784556334,34.34,600.0,518.0
1789784556413,34.34,600.0,518.0
1789784556492,34.25,600.0,518.0
1789784556571,34.25,600.0,518.0
1789784556703,34.29,600.0,518.0
1789784556783,34.27,600.0,518.0
1789784556863,34.26,600.0,518.0
1789784556944,34.26,600.0,518.0
1789784557077,34.29,600.0,518.0
1789784557143,34.33,600.0,518.0
1789784557213,34.33,600.0,518.0
1789784557293,34.3,600.0,518.0
1789784557423,34.35,600.0,518.0
1789784557502,34.35,600.0,518.0
1789784557582,34.23,600.0,518.0
1789784557660,34.23,600.0,518.0
1789784557782,34.32,600.0,518.0
1789784557862,34.27,600.0,518.0
1789784557943,34.3,600.0,518.0
1789784558014,34.3,600.0,518.0
1789784558145,34.26,600.0,518.0
1789784558211,34.22,600.0,518.0
1789784558281,34.22,600.0,518.0
1789784558360,34.26,600.0,518.0
1789784558491,34.26,600.0,518.0
1789784558571,34.26,600.0,518.0
1789784558651,34.22,600.0,518.0
1789784558716,34.22,600.0,518.0
1789784558848,34.14,600.0,518.0
1789784558928,34.3,600.0,518.0
1789784558998,34.3,600.0,518.0
1789784559063,34.19,600.0,518.0
1789784559161,36.88,600.0,518.0
1789784559225,36.88,600.0,518.0
1789784559290,36.88,600.0,518.0
1789784559355,36.89,600.0,518.0
1789784559451,36.91,600.0,518.0
1789784559515,36.91,600.0,518.0
1789784559580,36.89,600.0,518.0
1789784559644,36.89,600.0,518.0
1789784559741,36.96,600.0,518.0
1789784559806,36.96,600.0,518.0
1789784559871,36.94,600.0,518.0
1789784559935,36.94,600.0,518.0
1789784560031,36.86,600.0,518.0
1789784560095,36.86,600.0,518.0
1789784560160,36.92,600.0,518.0
1789784560224,36.92,600.0,518.0
1789784560321,36.92,600.0,518.0
1789784560386,37.0,600.0,518.0
1789784560450,37.0,600.0,518.0
1789784560515,37.14,600.0,518.0
1789784560610,37.14,600.0,518.0
1789784560674,37.02,600.0,518.0
1789784560739,37.02,600.0,518.0
1789784560804,37.08,600.0,518.0
1789784560902,37.08,600.0,518.0
1789784560966,37.1,600.0,518.0
1789784561030,37.1,600.0,518.0
1789784561094,37.01,600.0,518.0
1789784561189,36.99,600.0,518.0
1789784561253,36.99,600.0,518.0
1789784561318,36.99,600.0,518.0
1789784561382,36.99,600.0,518.0
1789784561477,36.99,600.0,518.0
1789784561541,36.99,600.0,518.0
1789784561607,37.0,600.0,518.0
1789784561671,37.0,600.0,518.0
1789784561769,36.99,600.0,518.0
1789784561833,36.99,600.0,518.0
1789784561898,37.08,600.0,518.0
1789784561962,37.08,600.0,518.0
1789784562057,37.04,600.0,518.0
1789784562121,37.04,600.0,518.0
1789784562185,37.12,600.0,518.0
1789784562249,37.12,600.0,518.0
1789784562343,37.05,600.0,518.0
1789784562408,37.04,600.0,518.0
1789784562472,37.04,600.0,518.0
1789784562536,37.16,600.0,518.0
1789784562631,37.16,600.0,518.0
1789784562697,37.11,600.0,518.0
1789784562761,37.11,600.0,518.0
1789784562826,37.12,600.0,518.0
1789784562923,37.12,600.0,518.0
1789784562988,37.12,600.0,518.0
1789784563052,37.12,600.0,518.0
1789784563117,37.1,600.0,518.0
1789784563212,37.0,600.0,518.0
1789784563276,37.0,600.0,518.0
1789784563340,37.0,600.0,518.0
1789784563404,37.17,600.0,518.0
1789784563502,34.54,600.0,518.0
1789784563572,34.54,600.0,518.0
1789784563651,34.44,600.0,518.0
1789784563716,34.44,600.0,518.0
1789784563855,34.41,600.0,518.0
1789784563933,34.41,600.0,518.0
1789784564011,34.46,600.0,518.0
1789784564090,34.46,600.0,518.0
1789784564214,34.53,600.0,518.0
1789784564294,34.47,600.0,518.0
1789784564365,34.47,600.0,518.0
1789784564444,34.52,600.0,518.0
1789784564568,34.33,600.0,518.0
1789784564647,34.33,600.0,518.0
1789784564727,34.49,600.0,518.0
1789784564806,34.49,600.0,518.0
1789784564928,34.34,600.0,518.0
1789784565005,34.35,600.0,518.0
1789784565084,34.35,600.0,518.0
1789784565156,34.44,600.0,518.0
1789784565286,34.35,600.0,518.0
1789784565365,34.34,600.0,518.0
1789784565435,34.34,600.0,518.0
1789784565515,34.35,600.0,518.0
1789784565636,34.23,600.0,518.0
1789784565716,34.23,600.0,518.0
1789784565796,34.3,600.0,518.0
1789784565867,34.3,600.0,518.0
1789784565999,34.3,600.0,518.0
1789784566078,34.45,600.0,518.0
1789784566149,34.45,600.0,518.0
1789784566229,34.43,600.0,518.0
1789784566370,34.36,600.0,518.0
1789784566442,34.33,600.0,518.0
1789784566521,34.33,600.0,518.0
1789784566601,34.25,600.0,518.0
1789784566708,34.25,600.0,518.0
1789784566774,34.35,600.0,518.0
1789784566854,34.4,600.0,518.0
1789784566925,34.4,600.0,518.0
1789784567056,34.39,600.0,518.0
1789784567124,34.34,600.0,518.0
1789784567190,34.34,600.0,518.0
1789784567270,34.28,600.0,518.0
1789784567405,34.36,600.0,518.0
1789784567484,34.36,600.0,518.0
1789784567562,34.35,600.0,518.0
1789784567641,34.35,600.0,518.0
1789784567743,34.57,600.0,518.0
1789784567822,34.35,600.0,518.0
1789784567901,34.35,600.0,518.0
1789784567981,34.39,600.0,518.0
1789784568121,34.36,600.0,518.0
1789784568201,34.22,600.0,518.0
1789784568267,34.22,600.0,518.0
1789784568338,34.44,600.0,518.0
1789784568467,34.32,600.0,518.0
1789784568536,34.32,600.0,518.0
1789784568601,34.28,600.0,518.0
1789784568665,34.28,600.0,518.0
1789784568761,36.51,600.0,518.0
1789784568825,36.51,600.0,518.0
1789784568889,36.5,600.0,518.0
1789784568953,36.5,600.0,518.0
1789784569049,36.58,600.0,518.0
1789784569114,36.58,600.0,518.0
1789784569179,36.58,600.0,518.0
1789784569243,36.58,600.0,518.0
1789784569340,36.56,600.0,518.0
1789784569404,36.56,600.0,518.0
1789784569468,36.5,600.0,518.0
1789784569533,36.5,600.0,518.0
