epoch_ms,watts,minion_mhz,minion_mv
1789784679580,33.95,600.0,518.0
1789784679712,33.84,600.0,518.0
1789784679791,33.84,600.0,518.0
1789784679871,33.8,600.0,518.0
1789784679941,33.8,600.0,518.0
1789784680071,33.87,600.0,518.0
1789784680148,33.86,600.0,518.0
1789784680227,33.86,600.0,518.0
1789784680299,33.93,600.0,518.0
1789784680431,33.94,600.0,518.0
1789784680510,33.84,600.0,518.0
1789784680589,33.84,600.0,518.0
1789784680667,33.77,600.0,518.0
1789784680797,33.94,600.0,518.0
1789784680876,33.94,600.0,518.0
1789784680947,33.72,600.0,518.0
1789784681014,33.72,600.0,518.0
1789784681126,33.96,600.0,518.0
1789784681205,33.93,600.0,518.0
1789784681277,33.93,600.0,518.0
1789784681356,33.84,600.0,518.0
1789784681493,33.86,600.0,518.0
1789784681572,33.81,600.0,518.0
1789784681651,33.81,600.0,518.0
1789784681720,33.85,600.0,518.0
1789784681841,33.85,600.0,518.0
1789784681917,33.9,600.0,518.0
1789784681997,33.93,600.0,518.0
1789784682076,33.93,600.0,518.0
1789784682205,33.9,600.0,518.0
1789784682284,33.82,600.0,518.0
1789784682355,33.82,600.0,518.0
1789784682434,33.91,600.0,518.0
1789784682557,33.93,600.0,518.0
1789784682636,33.93,600.0,518.0
1789784682715,33.99,600.0,518.0
1789784682781,33.99,600.0,518.0
1789784682913,33.93,600.0,518.0
1789784682992,33.87,600.0,518.0
1789784683062,33.85,600.0,518.0
1789784683133,33.85,600.0,518.0
1789784683264,33.87,600.0,518.0
1789784683334,33.85,600.0,518.0
1789784683413,33.85,600.0,518.0
1789784683492,33.9,600.0,518.0
1789784683624,33.94,600.0,518.0
1789784683704,33.94,600.0,518.0
1789784683777,33.84,600.0,518.0
1789784683852,33.84,600.0,518.0
1789784683989,33.86,600.0,518.0
1789784684068,33.89,600.0,518.0
1789784684148,33.86,600.0,518.0
1789784684219,33.86,600.0,518.0
1789784684351,33.96,600.0,518.0
1789784684424,33.84,600.0,518.0
1789784684503,33.84,600.0,518.0
1789784684575,33.83,600.0,518.0
1789784684706,33.99,600.0,518.0
1789784684782,33.99,600.0,518.0
1789784684862,33.86,600.0,518.0
1789784684929,33.86,600.0,518.0
1789784685064,33.89,600.0,518.0
1789784685143,33.84,600.0,518.0
1789784685222,33.84,600.0,518.0
1789784685301,33.84,600.0,518.0
1789784685426,33.76,600.0,518.0
1789784685497,33.86,600.0,518.0
1789784685574,33.86,600.0,518.0
1789784685643,33.83,600.0,518.0
1789784685741,33.83,600.0,518.0
1789784685806,36.18,600.0,518.0
1789784685870,36.18,600.0,518.0
1789784685935,36.15,600.0,518.0
1789784686033,36.23,600.0,518.0
1789784686097,36.23,600.0,518.0
1789784686161,36.23,600.0,518.0
1789784686225,34.06,600.0,518.0
1789784686321,36.27,600.0,518.0
1789784686386,36.27,600.0,518.0
1789784686451,36.18,600.0,518.0
1789784686515,36.18,600.0,518.0
1789784686612,36.25,600.0,518.0
1789784686677,36.25,600.0,518.0
1789784686742,36.25,600.0,518.0
1789784686806,36.25,600.0,518.0
1789784686901,36.25,600.0,518.0
1789784686966,36.25,600.0,518.0
1789784687031,36.29,600.0,518.0
1789784687096,36.29,600.0,518.0
1789784687191,36.27,600.0,518.0
1789784687255,36.24,600.0,518.0
1789784687319,36.24,600.0,518.0
1789784687384,36.23,600.0,518.0
1789784687479,36.23,600.0,518.0
1789784687543,36.28,600.0,518.0
1789784687607,36.28,600.0,518.0
1789784687672,36.15,600.0,518.0
1789784687769,36.15,600.0,518.0
1789784687832,36.28,600.0,518.0
1789784687897,36.28,600.0,518.0
1789784687962,36.34,600.0,518.0
1789784688058,36.25,600.0,518.0
1789784688122,36.25,600.0,518.0
1789784688186,36.25,600.0,518.0
1789784688250,36.23,600.0,518.0
1789784688346,36.23,600.0,518.0
1789784688411,36.23,600.0,518.0
1789784688476,36.44,600.0,518.0
1789784688540,36.44,600.0,518.0
1789784688637,36.28,600.0,518.0
1789784688702,36.28,600.0,518.0
1789784688767,36.25,600.0,518.0
1789784688831,36.25,600.0,518.0
1789784688928,36.34,600.0,518.0
1789784688992,36.34,600.0,518.0
1789784689057,36.31,600.0,518.0
1789784689121,36.31,600.0,518.0
1789784689216,36.41,600.0,518.0
1789784689280,36.44,600.0,518.0
1789784689344,36.44,600.0,518.0
1789784689409,36.31,600.0,518.0
1789784689506,36.31,600.0,518.0
1789784689570,36.33,600.0,518.0
1789784689634,36.33,600.0,518.0
1789784689699,36.27,600.0,518.0
1789784689796,36.27,600.0,518.0
1789784689861,36.34,600.0,518.0
1789784689925,36.34,600.0,518.0
1789784689989,36.37,600.0,518.0
1789784690085,36.34,600.0,518.0
1789784690150,36.34,600.0,518.0
1789784690215,34.07,600.0,518.0
1789784690279,34.07,600.0,518.0
1789784690395,34.08,600.0,518.0
1789784690474,33.99,600.0,518.0
1789784690553,33.99,600.0,518.0
1789784690624,33.96,600.0,518.0
1789784690736,33.96,600.0,518.0
1789784690812,33.99,600.0,518.0
1789784690883,33.97,600.0,518.0
1789784690962,33.97,600.0,518.0
