epoch_ms,watts,minion_mhz,minion_mv
1789784379593,35.45,600.0,518.0
1789784379708,35.39,600.0,518.0
1789784379848,35.46,600.0,518.0
1789784379990,35.43,600.0,518.0
1789784380123,35.36,600.0,518.0
1789784380262,35.35,600.0,518.0
1789784380388,35.36,600.0,518.0
1789784380520,35.36,600.0,518.0
1789784380646,35.43,600.0,518.0
1789784380781,35.38,600.0,518.0
1789784380913,35.33,600.0,518.0
1789784381042,35.33,600.0,518.0
1789784381178,35.38,600.0,518.0
1789784381318,35.34,600.0,518.0
1789784381453,35.35,600.0,518.0
1789784381580,35.38,600.0,518.0
1789784381706,35.38,600.0,518.0
1789784381834,35.38,600.0,518.0
1789784381952,35.29,600.0,518.0
1789784382093,35.35,600.0,518.0
1789784382231,35.39,600.0,518.0
1789784382363,35.36,600.0,518.0
1789784382470,35.39,600.0,518.0
1789784382596,35.33,600.0,518.0
1789784382738,35.38,600.0,518.0
1789784382878,35.38,600.0,518.0
1789784382988,35.36,600.0,518.0
1789784383124,35.39,600.0,518.0
1789784383253,35.4,600.0,518.0
1789784383392,35.4,600.0,518.0
1789784383506,35.4,600.0,518.0
1789784383634,35.39,600.0,518.0
1789784383773,35.34,600.0,518.0
1789784383900,35.39,600.0,518.0
1789784384022,35.36,600.0,518.0
1789784384154,35.36,600.0,518.0
1789784384289,35.3,600.0,518.0
1789784384424,35.38,600.0,518.0
1789784384545,35.18,600.0,518.0
1789784384662,35.43,600.0,518.0
1789784384801,35.33,600.0,518.0
1789784384936,35.34,600.0,518.0
1789784385073,35.34,600.0,518.0
1789784385215,35.42,600.0,518.0
1789784385349,35.33,600.0,518.0
1789784385462,35.34,600.0,518.0
1789784385593,35.52,600.0,518.0
1789784385694,35.52,600.0,518.0
1789784385791,35.4,600.0,518.0
1789784385887,38.0,600.0,518.0
1789784385984,38.0,600.0,518.0
1789784386080,38.07,600.0,518.0
1789784386178,38.02,600.0,518.0
1789784386274,37.99,600.0,518.0
1789784386371,37.99,600.0,518.0
1789784386468,38.02,600.0,518.0
1789784386565,38.14,600.0,518.0
1789784386662,38.14,600.0,518.0
1789784386759,38.13,600.0,518.0
1789784386855,38.12,600.0,518.0
1789784386952,38.12,600.0,518.0
1789784387049,38.17,600.0,518.0
1789784387146,38.08,600.0,518.0
1789784387242,38.05,600.0,518.0
1789784387339,38.05,600.0,518.0
1789784387435,37.99,600.0,518.0
1789784387532,38.17,600.0,518.0
1789784387629,38.17,600.0,518.0
1789784387725,38.2,600.0,518.0
1789784387823,38.13,600.0,518.0
1789784387920,38.13,600.0,518.0
1789784388014,38.13,600.0,518.0
1789784388111,38.17,600.0,518.0
1789784388208,38.13,600.0,518.0
1789784388302,38.13,600.0,518.0
1789784388398,38.2,600.0,518.0
1789784388494,38.15,600.0,518.0
1789784388591,38.15,600.0,518.0
1789784388686,38.14,600.0,518.0
1789784388784,38.09,600.0,518.0
1789784388881,38.18,600.0,518.0
1789784388976,38.18,600.0,518.0
1789784389073,38.18,600.0,518.0
1789784389170,38.26,600.0,518.0
1789784389267,38.26,600.0,518.0
1789784389363,38.18,600.0,518.0
1789784389461,38.24,600.0,518.0
1789784389557,38.24,600.0,518.0
1789784389654,38.16,600.0,518.0
1789784389752,38.33,600.0,518.0
1789784389850,38.14,600.0,518.0
1789784389946,38.14,600.0,518.0
1789784390045,35.48,600.0,518.0
1789784390164,35.47,600.0,518.0
1789784390296,35.59,600.0,518.0
1789784390413,35.53,600.0,518.0
1789784390549,35.5,600.0,518.0
1789784390676,35.49,600.0,518.0
1789784390806,35.48,600.0,518.0
1789784390916,35.48,600.0,518.0
1789784391054,35.48,600.0,518.0
1789784391187,35.51,600.0,518.0
1789784391324,35.53,600.0,518.0
1789784391436,35.4,600.0,518.0
1789784391557,35.38,600.0,518.0
1789784391672,35.4,600.0,518.0
1789784391802,35.39,600.0,518.0
1789784391934,35.47,600.0,518.0
1789784392067,35.5,600.0,518.0
1789784392206,35.48,600.0,518.0
1789784392342,35.47,600.0,518.0
1789784392480,35.47,600.0,518.0
1789784392590,35.39,600.0,518.0
1789784392721,35.4,600.0,518.0
1789784392858,35.36,600.0,518.0
1789784392994,35.3,600.0,518.0
1789784393114,35.43,600.0,518.0
1789784393246,35.42,600.0,518.0
1789784393388,35.42,600.0,518.0
1789784393522,35.47,600.0,518.0
1789784393639,35.46,600.0,518.0
1789784393775,35.33,600.0,518.0
1789784393906,35.38,600.0,518.0
1789784394042,35.38,600.0,518.0
1789784394138,35.35,600.0,518.0
1789784394234,37.64,600.0,518.0
1789784394331,37.64,600.0,518.0
1789784394427,37.61,600.0,518.0
1789784394525,37.67,600.0,518.0
1789784394622,37.67,600.0,518.0
1789784394718,37.64,600.0,518.0
1789784394816,37.7,600.0,518.0
1789784394913,37.62,600.0,518.0
1789784395010,37.62,600.0,518.0
1789784395106,37.7,600.0,518.0
1789784395203,37.68,600.0,518.0
1789784395298,37.68,600.0,518.0
1789784395394,37.69,600.0,518.0
1789784395490,35.55,600.0,518.0
1789784395586,35.55,600.0,518.0
1789784395683,37.76,600.0,518.0
1789784395780,37.77,600.0,518.0
1789784395877,37.77,600.0,518.0
1789784395973,37.77,600.0,518.0
1789784396069,37.74,600.0,518.0
1789784396167,37.8,600.0,518.0
1789784396263,37.8,600.0,518.0
1789784396360,37.77,600.0,518.0
1789784396458,37.8,600.0,518.0
1789784396554,37.8,600.0,518.0
1789784396651,37.74,600.0,518.0
1789784396749,37.71,600.0,518.0
1789784396846,37.75,600.0,518.0
1789784396942,37.75,600.0,518.0
1789784397039,37.79,600.0,518.0
1789784397135,37.78,600.0,518.0
1789784397232,37.78,600.0,518.0
1789784397329,37.71,600.0,518.0
1789784397425,37.78,600.0,518.0
1789784397522,37.71,600.0,518.0
1789784397618,37.71,600.0,518.0
1789784397715,37.75,600.0,518.0
1789784397812,37.77,600.0,518.0
1789784397909,37.77,600.0,518.0
1789784398005,37.71,600.0,518.0
1789784398103,37.81,600.0,518.0
1789784398200,37.81,600.0,518.0
1789784398297,37.78,600.0,518.0
1789784398394,37.77,600.0,518.0
1789784398491,35.52,600.0,518.0
1789784398598,35.52,600.0,518.0
1789784398733,35.56,600.0,518.0
1789784398872,35.53,600.0,518.0
1789784399010,35.52,600.0,518.0
1789784399144,35.48,600.0,518.0
1789784399277,35.47,600.0,518.0
1789784399407,35.47,600.0,518.0
1789784399545,35.49,600.0,518.0
1789784399675,35.33,600.0,518.0
1789784399806,35.43,600.0,518.0
1789784399939,35.43,600.0,518.0
1789784400077,35.39,600.0,518.0
1789784400213,35.48,600.0,518.0
1789784400311,35.38,600.0,518.0
1789784400429,35.46,600.0,518.0
1789784400538,35.47,600.0,518.0
1789784400655,35.47,600.0,518.0
1789784400779,35.41,600.0,518.0
1789784400911,35.39,600.0,518.0
1789784401036,35.39,600.0,518.0
1789784401166,35.36,600.0,518.0
1789784401298,35.34,600.0,518.0
1789784401440,35.39,600.0,518.0
1789784401568,35.46,600.0,518.0
1789784401681,35.38,600.0,518.0
1789784401782,35.41,600.0,518.0
1789784401906,35.4,600.0,518.0
1789784402003,35.4,600.0,518.0
1789784402118,35.46,600.0,518.0
1789784402242,35.36,600.0,518.0
1789784402379,35.41,600.0,518.0
1789784402513,35.35,600.0,518.0
1789784402613,35.44,600.0,518.0
1789784402711,35.44,600.0,518.0
1789784402806,37.75,600.0,518.0
1789784402904,37.87,600.0,518.0
1789784403000,37.93,600.0,518.0
1789784403097,37.93,600.0,518.0
1789784403191,37.94,600.0,518.0
1789784403287,37.91,600.0,518.0
1789784403384,37.91,600.0,518.0
1789784403479,37.99,600.0,518.0
1789784403576,37.91,600.0,518.0
1789784403674,37.91,600.0,518.0
1789784403771,37.92,600.0,518.0
1789784403866,37.94,600.0,518.0
1789784403962,37.9,600.0,518.0
1789784404058,37.9,600.0,518.0
1789784404153,37.94,600.0,518.0
1789784404251,37.88,600.0,518.0
1789784404347,37.88,600.0,518.0
1789784404443,37.89,600.0,518.0
1789784404540,37.91,600.0,518.0
1789784404636,37.91,600.0,518.0
1789784404731,37.97,600.0,518.0
1789784404827,35.68,600.0,518.0
1789784404924,37.96,600.0,518.0
1789784405019,37.96,600.0,518.0
1789784405115,38.04,600.0,518.0
1789784405210,38.0,600.0,518.0
1789784405308,38.0,600.0,518.0
1789784405404,37.94,600.0,518.0
1789784405498,37.98,600.0,518.0
1789784405594,37.98,600.0,518.0
1789784405691,38.02,600.0,518.0
1789784405787,37.94,600.0,518.0
1789784405884,37.91,600.0,518.0
1789784405979,37.91,600.0,518.0
1789784406075,37.97,600.0,518.0
1789784406172,37.97,600.0,518.0
1789784406268,37.97,600.0,518.0
1789784406364,38.01,600.0,518.0
1789784406460,38.0,600.0,518.0
1789784406555,38.0,600.0,518.0
1789784406650,38.03,600.0,518.0
1789784406747,37.95,600.0,518.0
1789784406844,37.95,600.0,518.0
1789784406939,38.01,600.0,518.0
1789784407037,35.49,600.0,518.0
1789784407156,35.49,600.0,518.0
1789784407280,35.56,600.0,518.0
1789784407405,35.43,600.0,518.0
1789784407547,35.52,600.0,518.0
1789784407679,35.48,600.0,518.0
1789784407821,35.42,600.0,518.0
1789784407948,35.42,600.0,518.0
1789784408079,35.43,600.0,518.0
1789784408219,35.36,600.0,518.0
1789784408361,35.44,600.0,518.0
1789784408482,35.36,600.0,518.0
1789784408612,35.36,600.0,518.0
