epoch_ms,minion_mhz,watts
1789786073874,600,24.03
1789786074105,600,23.95
1789786074336,600,24.07
1789786074574,600,24.12
1789786074824,600,24.12
1789786075083,600,24.04
1789786075339,600,24.08
1789786075600,600,24.08
1789786075851,600,24.08
1789786076118,600,24.08
1789786076367,600,24.09
1789786076600,600,24.04
1789786076831,600,24.04
1789786077067,600,24.04
1789786077322,600,24.04
1789786077571,600,24.04
1789786077822,600,24.02
1789786078080,600,24.08
1789786078331,600,24.04
1789786078586,600,24.08
1789786078850,600,24.01
1789786079083,600,24.04
1789786079313,600,24.01
1789786079551,600,23.99
1789786079801,600,24.15
1789786080057,600,23.98
1789786080310,600,24.12
1789786080568,600,23.91
1789786080819,600,24.08
1789786081070,600,24.04
1789786081325,600,23.91
1789786081556,600,24.16
1789786081786,600,24.04
1789786082033,600,24.02
1789786082290,600,24.04
1789786082547,600,24.04
1789786082797,600,24.02
1789786083048,600,24.08
1789786083313,600,24.04
1789786083563,600,24.18
1789786083812,600,24.1
1789786084044,600,23.98
1789786084277,600,24.02
1789786084527,600,23.94
1789786084778,600,24.04
1789786085030,600,24.12
1789786085292,600,24.04
1789786085543,600,24.05
1789786085807,600,24.04
1789786086057,600,24.08
1789786086299,600,24.07
1789786086531,600,24.15
1789786086782,600,24.08
1789786087030,600,24.05
1789786087289,600,24.04
1789786087539,600,24.08
1789786087798,600,23.95
1789786088048,600,23.75
1789786088306,600,24.04
1789786088561,600,24.04
1789786088817,600,23.94
1789786089068,600,24.07
1789786089334,600,24.04
1789786089589,600,23.91
1789786089848,600,24.08
1789786090101,600,24.07
1789786090352,600,23.98
1789786090602,600,24.11
1789786090835,600,24.04
1789786091095,600,24.04
1789786091346,600,23.77
1789786091602,600,24.15
1789786091851,600,23.98
1789786092101,600,24.08
1789786092369,600,24.04
1789786092619,600,24.02
1789786092875,600,24.08
1789786093141,600,24.05
1789786093396,600,24.08
1789786093655,600,24.04
1789786093912,600,24.04
1789786094160,600,24.04
1789786094410,600,24.02
1789786094669,600,24.05
1789786094917,600,23.94
1789786095176,600,24.08
1789786095426,600,24.08
1789786095686,600,24.08
1789786095938,600,24.08
1789786096195,600,24.04
1789786096457,600,24.04
1789786096707,600,23.98
1789786096940,600,24.07
1789786097172,600,23.91
1789786097422,600,24.08
1789786097670,600,24.04
1789786097924,600,24.11
1789786098176,600,24.12
1789786098428,600,24.12
1789786098695,600,24.04
1789786098948,600,24.04
1789786099202,600,24.05
1789786099433,600,24.09
1789786099685,600,24.04
1789786099932,600,24.02
1789786100200,600,24.08
1789786100451,600,24.11
1789786100710,600,24.04
1789786100959,600,24.04
1789786101217,600,23.78
1789786101467,600,23.97
1789786101698,600,24.04
1789786101940,600,24.02
1789786102189,600,24.08
1789786102454,600,24.04
1789786102704,600,24.08
1789786102964,600,24.08
1789786103214,600,24.02
1789786103472,600,24.01
1789786103727,600,24.08
1789786103961,600,24.08
1789786104206,600,24.08
1789786104458,600,24.04
1789786104714,600,23.94
1789786104973,600,24.02
1789786105225,600,24.02
1789786105475,600,24.12
1789786105728,600,24.04
1789786105979,600,24.01
1789786106212,600,24.18
1789786106444,600,24.08
1789786106702,600,24.01
1789786106962,600,24.02
1789786107229,600,24.08
1789786107478,600,24.04
1789786107738,600,24.02
1789786107998,600,24.04
1789786108264,600,24.01
1789786108521,600,24.07
1789786108753,600,24.1
1789786109001,600,23.98
1789786109250,600,24.12
1789786109513,600,23.91
1789786109763,600,23.94
1789786110012,600,24.08
1789786110272,600,24.02
1789786110531,600,24.08
1789786110780,600,24.04
1789786111011,600,24.17
1789786111242,600,23.95
1789786111489,600,24.04
1789786111740,600,24.05
1789786111997,600,23.9
1789786112254,600,24.12
1789786112505,600,24.02
1789786112761,600,24.08
1789786113020,600,23.89
1789786113273,600,23.98
1789786113504,600,24.11
1789786113750,600,24.08
1789786114007,600,24.15
1789786114266,600,24.17
1789786114506,600,24.04
1789786114764,600,24.04
1789786115023,600,24.02
1789786115284,600,24.04
1789786115534,600,24.02
1789786115766,600,24.07
1789786116021,600,24.04
1789786116281,600,24.08
1789786116536,600,24.12
1789786116784,600,24.11
1789786117041,600,24.08
1789786117292,600,24.12
1789786117550,600,24.04
1789786117804,600,24.12
1789786118035,600,24.15
1789786118267,600,24.02
1789786118514,600,24.12
1789786118762,600,24.12
1789786119021,600,24.02
1789786119276,600,24.04
1789786119536,600,24.04
1789786119791,600,23.98
1789786120043,600,24.04
1789786120292,600,24.01
1789786120525,600,23.85
1789786120782,600,24.04
1789786121033,600,24.05
