epoch_ms,minion_mhz,watts
1789786773100,600,24.68
1789786773331,600,24.44
1789786773563,600,24.62
1789786773814,600,24.62
1789786774071,600,24.57
1789786774327,600,24.49
1789786774595,600,24.52
1789786774851,600,24.39
1789786775095,600,24.58
1789786775355,600,24.58
1789786775593,600,24.52
1789786775826,600,24.54
1789786776085,600,24.55
1789786776343,600,24.45
1789786776592,600,24.49
1789786776840,600,24.71
1789786777093,600,24.54
1789786777351,600,24.58
1789786777598,600,24.52
1789786777849,600,24.54
1789786778083,600,24.49
1789786778332,600,24.49
1789786778590,600,24.62
1789786778838,600,24.49
1789786779096,600,24.56
1789786779346,600,24.52
1789786779611,600,24.52
1789786779867,600,24.48
1789786780122,600,24.58
1789786780353,600,24.79
1789786780602,600,24.48
1789786780858,600,24.54
1789786781107,600,24.41
1789786781367,600,24.54
1789786781618,600,24.49
1789786781885,600,24.52
1789786782138,600,24.55
1789786782396,600,24.4
1789786782626,600,24.51
1789786782881,600,24.49
1789786783129,600,24.49
1789786783397,600,24.44
1789786783664,600,24.52
1789786783915,600,24.52
1789786784173,600,24.48
1789786784432,600,24.52
1789786784687,600,24.5
1789786784920,600,24.18
1789786785171,600,24.52
1789786785438,600,24.52
1789786785689,600,24.49
1789786785954,600,24.44
1789786786205,600,24.41
1789786786472,600,24.45
1789786786728,600,24.52
1789786786974,600,24.52
1789786787206,600,24.45
1789786787457,600,24.48
1789786787707,600,24.41
1789786787965,600,24.41
1789786788212,600,24.44
1789786788462,600,24.54
1789786788711,600,24.41
1789786788977,600,24.52
1789786789225,600,24.44
1789786789459,600,24.45
1789786789710,600,24.49
1789786789962,600,24.52
1789786790221,600,24.45
1789786790479,600,24.42
1789786790728,600,24.39
1789786790979,600,24.44
1789786791240,600,24.39
1789786791489,600,24.48
1789786791722,600,24.52
1789786791973,600,24.39
1789786792234,600,24.49
1789786792483,600,24.41
1789786792744,600,24.45
1789786792997,600,24.62
1789786793245,600,24.34
1789786793498,600,24.41
1789786793753,600,24.38
1789786793986,600,24.41
1789786794224,600,24.41
1789786794483,600,24.44
1789786794739,600,24.49
1789786795001,600,24.44
1789786795260,600,24.65
1789786795518,600,24.39
1789786795770,600,24.45
1789786796016,600,24.38
1789786796248,600,24.71
1789786796481,600,24.39
1789786796740,600,24.39
1789786796991,600,24.49
1789786797257,600,24.41
1789786797506,600,24.39
1789786797766,600,24.41
1789786798021,600,24.41
1789786798277,600,24.35
1789786798510,600,24.41
1789786798744,600,24.41
1789786799008,600,24.41
1789786799259,600,24.41
1789786799514,600,24.34
1789786799777,600,24.41
1789786800040,600,24.44
1789786800300,600,24.35
1789786800549,600,24.48
1789786800787,600,24.38
1789786801019,600,24.42
1789786801264,600,24.44
1789786801514,600,24.39
1789786801763,600,24.39
1789786802028,600,24.41
1789786802279,600,24.37
1789786802546,600,24.38
1789786802803,600,24.38
1789786803046,600,24.38
1789786803277,600,24.44
1789786803526,600,24.34
1789786803779,600,24.41
1789786804039,600,24.41
1789786804297,600,24.39
1789786804553,600,24.41
1789786804811,600,24.36
1789786805061,600,24.39
1789786805318,600,24.43
1789786805578,600,24.41
1789786805828,600,24.31
1789786806082,600,24.41
1789786806327,600,24.37
1789786806587,600,24.35
1789786806844,600,24.34
1789786807111,600,24.64
1789786807353,600,24.41
1789786807603,600,24.39
1789786807858,600,24.31
1789786808110,600,24.41
1789786808360,600,24.31
1789786808617,600,24.41
1789786808874,600,24.41
1789786809123,600,24.37
1789786809365,600,24.31
1789786809611,600,24.25
1789786809869,600,24.49
1789786810125,600,24.39
1789786810384,600,24.34
1789786810634,600,24.34
1789786810884,600,24.41
1789786811138,600,24.35
1789786811382,600,24.39
1789786811632,600,24.38
1789786811890,600,24.38
1789786812146,600,24.38
1789786812396,600,24.3
1789786812652,600,24.31
1789786812910,600,24.38
1789786813167,600,24.41
1789786813407,600,24.52
1789786813640,600,24.39
1789786813889,600,24.45
1789786814139,600,24.39
1789786814390,600,24.39
1789786814639,600,24.39
1789786814899,600,24.31
1789786815150,600,24.31
