epoch_ms,watts,minion_mhz,minion_mv
1789786821042,24.39,600.0,523.0
1789786821167,24.39,600.0,523.0
1789786821296,24.34,600.0,523.0
1789786821429,24.34,600.0,523.0
1789786821569,24.41,600.0,523.0
1789786821700,24.38,600.0,523.0
1789786821840,24.38,600.0,523.0
1789786821952,24.34,600.0,523.0
1789786822093,24.34,600.0,523.0
1789786822234,24.35,600.0,523.0
1789786822373,24.34,600.0,523.0
1789786822506,24.34,600.0,523.0
1789786822646,24.35,600.0,523.0
1789786822759,24.35,600.0,523.0
1789786822890,24.31,600.0,523.0
1789786823029,24.31,600.0,523.0
1789786823163,24.34,600.0,523.0
1789786823296,24.34,600.0,523.0
1789786823428,24.38,600.0,523.0
1789786823568,24.35,600.0,523.0
1789786823701,24.35,600.0,523.0
1789786823844,24.31,600.0,523.0
1789786823976,24.31,600.0,523.0
1789786824109,24.31,600.0,523.0
1789786824249,24.38,600.0,523.0
1789786824382,24.38,600.0,523.0
1789786824513,24.34,600.0,523.0
1789786824639,24.34,600.0,523.0
1789786824780,24.34,600.0,523.0
1789786824915,24.35,600.0,523.0
1789786825046,24.35,600.0,523.0
1789786825176,24.04,600.0,523.0
1789786825292,24.04,600.0,523.0
1789786825425,24.39,600.0,523.0
1789786825560,24.39,600.0,523.0
1789786825692,24.35,600.0,523.0
1789786825832,24.34,600.0,523.0
1789786825964,24.34,600.0,523.0
1789786826086,24.39,600.0,523.0
1789786826228,24.39,600.0,523.0
1789786826357,24.39,600.0,523.0
1789786826481,24.39,600.0,523.0
1789786826622,24.31,600.0,523.0
1789786826750,24.28,600.0,523.0
1789786826890,24.28,600.0,523.0
1789786827023,24.39,600.0,523.0
1789786827140,24.39,600.0,523.0
1789786827236,24.25,600.0,523.0
1789786827333,24.25,600.0,523.0
1789786827429,24.25,600.0,523.0
1789786827524,25.99,600.0,522.0
1789786827619,25.99,600.0,523.0
1789786827714,26.03,600.0,523.0
1789786827810,26.03,600.0,523.0
1789786827906,25.96,600.0,522.0
1789786828002,25.96,600.0,523.0
1789786828098,25.96,600.0,523.0
1789786828193,26.0,600.0,523.0
1789786828289,26.0,600.0,523.0
1789786828385,25.99,600.0,523.0
1789786828481,25.99,600.0,522.0
1789786828577,26.03,600.0,523.0
1789786828674,26.03,600.0,523.0
1789786828770,26.03,600.0,523.0
1789786828865,25.99,600.0,523.0
1789786828961,25.99,600.0,523.0
1789786829058,26.02,600.0,523.0
1789786829154,26.02,600.0,523.0
1789786829250,26.02,600.0,522.0
1789786829345,25.99,600.0,523.0
1789786829442,25.99,600.0,523.0
1789786829538,26.13,600.0,523.0
1789786829633,26.13,600.0,523.0
1789786829728,25.99,600.0,523.0
1789786829825,25.99,600.0,523.0
1789786829920,25.99,600.0,523.0
1789786830015,26.02,600.0,523.0
1789786830111,26.02,600.0,522.0
1789786830208,26.03,600.0,523.0
1789786830304,26.03,600.0,523.0
1789786830399,26.04,600.0,523.0
1789786830496,26.04,600.0,523.0
1789786830592,26.04,600.0,523.0
1789786830687,26.06,600.0,523.0
1789786830783,26.06,600.0,523.0
1789786830880,26.02,600.0,523.0
1789786830976,26.02,600.0,523.0
1789786831073,26.02,600.0,523.0
