epoch_ms,watts,minion_mhz,minion_mv
1789786934330,24.62,600.0,523.0
1789786934442,24.62,600.0,523.0
1789786934566,24.84,600.0,523.0
1789786934704,24.84,600.0,523.0
1789786934842,24.66,600.0,523.0
1789786934975,24.62,600.0,523.0
1789786935114,24.62,600.0,523.0
1789786935242,24.58,600.0,523.0
1789786935381,24.58,600.0,523.0
1789786935513,24.66,600.0,523.0
1789786935654,24.68,600.0,523.0
1789786935787,24.68,600.0,523.0
1789786935907,24.44,600.0,523.0
1789786936042,24.44,600.0,523.0
1789786936166,24.62,600.0,523.0
1789786936297,24.62,600.0,523.0
1789786936429,24.61,600.0,523.0
1789786936555,24.65,600.0,523.0
1789786936692,24.65,600.0,523.0
1789786936817,24.65,600.0,523.0
1789786936949,24.65,600.0,523.0
1789786937089,24.66,600.0,523.0
1789786937229,24.65,600.0,523.0
1789786937363,24.65,600.0,523.0
1789786937483,24.68,600.0,523.0
1789786937623,24.68,600.0,523.0
1789786937763,24.55,600.0,523.0
1789786937904,24.52,600.0,523.0
1789786938036,24.52,600.0,523.0
1789786938171,24.58,600.0,523.0
1789786938310,24.58,600.0,523.0
1789786938439,24.62,600.0,523.0
1789786938566,24.62,600.0,523.0
1789786938699,24.62,600.0,523.0
1789786938830,24.62,600.0,523.0
1789786938970,24.62,600.0,523.0
1789786939110,24.54,600.0,523.0
1789786939239,24.54,600.0,523.0
1789786939347,24.54,600.0,523.0
1789786939478,24.54,600.0,523.0
1789786939610,24.62,600.0,523.0
1789786939742,24.58,600.0,523.0
1789786939875,24.58,600.0,523.0
1789786940012,24.58,600.0,523.0
1789786940140,24.58,600.0,523.0
1789786940268,24.58,600.0,523.0
1789786940393,24.58,600.0,523.0
1789786940489,24.52,600.0,523.0
1789786940585,24.52,600.0,522.0
1789786940682,27.17,600.0,522.0
1789786940778,27.17,600.0,522.0
1789786940873,27.17,600.0,522.0
1789786940968,27.1,600.0,522.0
1789786941064,27.1,600.0,522.0
1789786941161,27.16,600.0,522.0
1789786941257,27.16,600.0,522.0
1789786941353,27.16,600.0,522.0
1789786941447,27.26,600.0,522.0
1789786941544,27.26,600.0,522.0
1789786941640,27.24,600.0,522.0
1789786941735,27.24,600.0,522.0
1789786941830,27.24,600.0,522.0
1789786941926,27.23,600.0,522.0
1789786942021,27.23,600.0,522.0
1789786942117,27.23,600.0,522.0
1789786942213,27.23,600.0,522.0
1789786942309,27.22,600.0,522.0
1789786942405,27.22,600.0,522.0
1789786942502,27.22,600.0,522.0
1789786942597,27.23,600.0,522.0
1789786942693,27.23,600.0,522.0
1789786942790,27.27,600.0,522.0
1789786942886,27.27,600.0,522.0
1789786942983,27.2,600.0,522.0
1789786943079,27.2,600.0,522.0
1789786943175,27.2,600.0,522.0
1789786943270,27.3,600.0,522.0
1789786943366,27.3,600.0,522.0
1789786943463,27.12,600.0,522.0
1789786943559,27.12,600.0,522.0
1789786943655,27.24,600.0,522.0
1789786943752,27.24,600.0,522.0
1789786943848,27.24,600.0,522.0
1789786943944,27.23,600.0,522.0
1789786944040,27.23,600.0,522.0
1789786944136,27.3,600.0,522.0
1789786944232,27.3,600.0,522.0
1789786944329,27.3,600.0,522.0
1789786944424,27.2,600.0,522.0
1789786944520,27.2,600.0,522.0
1789786944616,27.14,600.0,522.0
1789786944712,27.14,600.0,522.0
1789786944809,24.83,600.0,523.0
1789786944905,24.83,600.0,523.0
1789786945028,24.88,600.0,523.0
1789786945160,24.88,600.0,523.0
1789786945300,24.81,600.0,523.0
1789786945441,24.81,600.0,523.0
1789786945583,24.85,600.0,523.0
1789786945717,24.85,600.0,523.0
1789786945833,24.62,600.0,523.0
1789786945973,24.79,600.0,523.0
1789786946103,24.79,600.0,523.0
1789786946233,24.93,600.0,523.0
1789786946353,24.93,600.0,523.0
1789786946476,24.79,600.0,523.0
1789786946614,24.79,600.0,523.0
1789786946742,24.79,600.0,523.0
1789786946874,24.79,600.0,523.0
1789786947005,24.79,600.0,523.0
1789786947145,24.71,600.0,523.0
1789786947277,24.71,600.0,523.0
1789786947417,24.78,600.0,523.0
1789786947549,24.79,600.0,523.0
1789786947682,24.79,600.0,523.0
1789786947822,24.79,600.0,523.0
1789786947946,24.79,600.0,523.0
1789786948044,24.79,600.0,523.0
1789786948140,24.79,600.0,522.0
1789786948237,28.41,600.0,522.0
1789786948332,28.41,600.0,522.0
1789786948428,28.41,600.0,522.0
1789786948523,28.26,600.0,522.0
1789786948619,28.26,600.0,522.0
1789786948714,28.41,600.0,522.0
1789786948810,28.41,600.0,522.0
1789786948905,28.38,600.0,522.0
1789786949001,28.38,600.0,522.0
1789786949096,28.38,600.0,522.0
1789786949191,28.37,600.0,522.0
1789786949287,28.37,600.0,522.0
1789786949383,28.41,600.0,522.0
1789786949479,28.41,600.0,522.0
1789786949576,28.41,600.0,522.0
1789786949671,28.53,600.0,522.0
1789786949767,28.53,600.0,522.0
