epoch_ms,watts
1789837037239,31.83
1789837037257,31.83
1789837037283,31.83
1789837037315,31.83
1789837037349,31.96
1789837037381,31.96
1789837037412,31.96
1789837037447,31.96
1789837037483,31.95
1789837037518,31.95
1789837037554,31.95
1789837037590,31.94
1789837037624,31.94
1789837037657,31.94
1789837037687,31.94
1789837037711,31.94
1789837038842,31.91
1789837038861,31.91
1789837038890,31.91
1789837038918,31.91
1789837038950,31.91
1789837038985,31.91
1789837039022,31.91
1789837039053,31.91
1789837039076,31.97
1789837039110,31.97
1789837039146,31.97
1789837039181,31.97
1789837039217,31.94
1789837039245,31.94
1789837039267,31.94
1789837039291,31.94
1789837039318,31.94
1789837039347,31.91
1789837039365,31.91
1789837039391,31.91
1789837039426,31.91
1789837039461,31.91
1789837039490,31.94
1789837039526,31.94
1789837039558,31.94
1789837039591,31.87
1789837039627,31.87
1789837039662,31.87
1789837039694,31.87
1789837039716,31.87
1789837039752,31.91
1789837039788,31.91
1789837039823,31.91
1789837039858,31.91
1789837039891,31.84
1789837039928,31.84
1789837039964,31.84
1789837040000,31.91
1789837040034,31.91
1789837040067,31.91
1789837040103,31.91
1789837040139,31.87
1789837040171,31.87
1789837040208,31.87
1789837040233,31.87
1789837040256,31.87
1789837040282,31.86
1789837040304,31.86
1789837040334,31.86
1789837040356,31.86
1789837040390,31.86
1789837040413,31.83
1789837040449,31.83
1789837040485,31.83
1789837040508,31.83
1789837040543,31.98
1789837040579,31.98
1789837040616,31.98
1789837040652,31.98
1789837040688,31.91
1789837040724,31.91
1789837040759,31.91
1789837040793,31.91
1789837040829,31.91
1789837040859,31.91
1789837040894,31.91
1789837040930,31.91
1789837040963,31.91
1789837040998,31.91
1789837041032,31.91
1789837041065,31.91
1789837041087,31.91
1789837041120,31.91
1789837041146,31.91
1789837041178,31.91
1789837041213,31.9
1789837041236,31.9
1789837041256,31.9
1789837041279,31.9
1789837041305,31.9
1789837041327,31.9
1789837041355,31.88
1789837041391,31.88
1789837041408,31.88
1789837041430,31.88
1789837041464,31.88
1789837041494,31.87
1789837041516,31.87
1789837041551,31.87
1789837041588,31.87
1789837041618,31.94
1789837041641,31.94
1789837041676,31.94
1789837041709,31.94
1789837041732,31.91
1789837041767,31.91
1789837041803,31.91
1789837041840,31.91
1789837041875,31.91
1789837041910,31.91
1789837041939,31.91
1789837041961,31.91
1789837041996,31.91
1789837042028,31.97
1789837042060,31.97
1789837042082,31.97
1789837042104,31.97
1789837042137,31.93
1789837042173,31.93
1789837042210,31.93
1789837042234,31.93
1789837042263,31.93
1789837042284,31.91
1789837042313,31.91
1789837042341,31.91
1789837042373,31.91
1789837042400,31.91
1789837042422,31.85
1789837042455,31.85
1789837042492,31.85
1789837042524,31.85
1789837042546,31.89
1789837042581,31.89
1789837042616,31.89
1789837042635,31.89
1789837042667,31.89
1789837042700,31.95
1789837042737,31.95
1789837042769,31.95
1789837042803,31.88
1789837042839,31.88
1789837042876,31.88
1789837042900,31.88
1789837042916,31.88
1789837042933,31.88
1789837042949,31.88
1789837042966,31.83
1789837042982,31.83
1789837042998,31.83
1789837043014,31.83
1789837043030,31.83
1789837043047,31.83
1789837043063,31.83
1789837043079,31.83
1789837043095,34.88
1789837043111,34.88
1789837043127,34.88
1789837043144,34.88
1789837043160,34.88
1789837043175,34.88
1789837043191,34.88
1789837043208,34.88
1789837043223,34.91
1789837043239,34.91
1789837043255,34.91
1789837043272,34.91
1789837043288,34.91
1789837043304,34.91
1789837043321,34.91
1789837043337,34.91
1789837043353,34.92
1789837043368,34.92
1789837043384,34.92
1789837043400,34.92
1789837043416,34.92
1789837043433,34.92
1789837043449,34.92
1789837043465,34.92
1789837043481,34.92
1789837043497,34.82
1789837043513,34.82
1789837043529,34.82
1789837043545,34.82
1789837043562,34.82
1789837043578,34.82
1789837043594,34.82
1789837043610,34.82
1789837043627,34.79
1789837043642,34.79
1789837043659,34.79
1789837043675,34.79
1789837043691,34.79
1789837043706,34.79
1789837043722,34.79
1789837043738,34.79
1789837043755,34.93
1789837043770,34.93
1789837043785,34.93
1789837043802,34.93
1789837043818,34.93
1789837043834,34.93
1789837043850,34.93
1789837043867,34.93
1789837043883,34.93
1789837043899,34.88
1789837043914,34.88
1789837043931,34.88
1789837043947,34.88
1789837043963,34.88
1789837043980,34.88
1789837043996,34.88
1789837044012,34.88
1789837044028,34.96
1789837044044,34.96
1789837044060,34.96
1789837044077,34.96
1789837044093,34.96
1789837044109,34.96
1789837044125,34.96
1789837044141,34.96
1789837044158,35
1789837044173,35
1789837044188,35
1789837044205,35
1789837044221,35
1789837044237,35
1789837044254,35
1789837044270,35
1789837044286,35
1789837044302,34.97
1789837044317,34.97
1789837044334,34.97
1789837044350,34.97
1789837044366,34.97
1789837044383,34.97
1789837044399,34.97
1789837044415,34.97
1789837044431,34.96
1789837044447,34.96
1789837044463,34.96
1789837044480,34.96
1789837044496,34.96
1789837044512,34.96
1789837044529,34.96
1789837044545,34.96
1789837044561,34.99
1789837044576,34.99
1789837044591,34.99
1789837044608,34.99
1789837044624,34.99
1789837044640,34.99
1789837044657,34.99
1789837044673,34.99
1789837044689,34.99
1789837044705,34.97
1789837044721,34.97
1789837044737,34.97
1789837044753,34.97
1789837044770,34.97
1789837044786,34.97
1789837044802,34.97
1789837044819,34.97
1789837044834,35.05
1789837044850,35.05
1789837044867,35.05
1789837044883,35.05
1789837044899,35.05
1789837044916,35.05
1789837044932,35.05
1789837044948,35.05
1789837044964,35.05
1789837044980,35.05
1789837044996,35.05
1789837045013,35.05
1789837045029,35.05
1789837045045,35.05
1789837045061,35.05
1789837045078,35.05
1789837045094,35.05
1789837045109,35.05
1789837045126,35.05
1789837045142,35.05
1789837045158,35.05
1789837045174,35.05
1789837045189,35.05
1789837045206,35.05
1789837045222,35.05
1789837045238,34.96
1789837045254,34.96
1789837045270,34.96
1789837045286,34.96
1789837045303,34.96
1789837045319,34.96
1789837045335,34.96
1789837045351,34.96
1789837045367,35.03
1789837045383,35.03
1789837045400,35.03
1789837045416,35.03
1789837045432,35.03
1789837045448,35.03
1789837045465,35.03
1789837045481,35.03
1789837045497,35.05
1789837045512,35.05
1789837045528,35.05
1789837045544,35.05
1789837045560,35.05
1789837045577,35.05
1789837045593,35.05
1789837045609,35.05
1789837045625,35.05
1789837045641,35.11
1789837045657,35.11
1789837045674,35.11
1789837045690,35.11
1789837045705,35.11
1789837045721,35.11
1789837045737,35.11
1789837045754,35.11
1789837045769,35.05
1789837045785,35.05
1789837045802,35.05
1789837045818,35.05
1789837045834,35.05
1789837045850,35.05
1789837045867,35.05
1789837045883,35.05
1789837045899,35.07
1789837045914,35.07
1789837045930,35.07
1789837045946,35.07
1789837045962,35.07
1789837045978,35.07
1789837045995,35.07
1789837046011,35.07
1789837046026,35.07
1789837046042,35.03
1789837046058,35.03
1789837046074,35.03
1789837046091,35.03
1789837046107,35.03
1789837046123,35.03
1789837046139,35.03
1789837046156,35.03
1789837046172,34.98
1789837046187,34.98
1789837046204,34.98
1789837046220,34.98
1789837046236,34.98
1789837046253,34.98
1789837046269,34.98
1789837046285,34.98
1789837046301,34.99
1789837046316,34.99
1789837046332,34.99
1789837046348,34.99
1789837046364,34.99
1789837046381,34.99
1789837046397,34.99
1789837046413,34.99
1789837046430,34.99
1789837046445,35.05
1789837046461,35.05
1789837046477,35.05
1789837046494,35.05
1789837046510,35.05
1789837046526,35.05
1789837046543,35.05
1789837046559,35.05
1789837046575,35.1
1789837046590,35.1
1789837046607,35.1
1789837046623,35.1
1789837046639,35.1
1789837046656,35.1
1789837046672,35.1
1789837046688,35.1
1789837046703,35.09
1789837046718,35.09
1789837046733,35.09
1789837046750,35.09
1789837046766,35.09
1789837046782,35.09
1789837046798,35.09
1789837046815,35.09
1789837046831,35.09
1789837046847,35.12
1789837046863,35.12
1789837046879,35.12
1789837046895,35.12
1789837046912,35.12
1789837046926,35.12
1789837046943,35.12
1789837046959,35.12
1789837046975,35.04
1789837046991,35.04
1789837047007,35.04
1789837047024,35.04
1789837047040,35.04
1789837047056,35.04
1789837047072,35.04
1789837047089,35.04
1789837047105,35.1
1789837047120,35.1
1789837047137,35.1
1789837047153,35.1
1789837047169,35.1
1789837047185,35.1
1789837047202,35.1
1789837047218,35.1
1789837047234,35.1
1789837047250,35.19
1789837047266,35.19
1789837047282,35.19
1789837047299,35.19
1789837047315,35.19
1789837047332,35.19
1789837047348,35.19
1789837047364,35.19
1789837047379,35.12
1789837047396,35.12
1789837047412,35.12
1789837047428,35.12
1789837047445,35.12
1789837047461,35.12
1789837047477,35.12
1789837047493,35.12
1789837047510,35.12
1789837047525,35.12
1789837047542,35.12
1789837047558,35.12
1789837047574,35.12
1789837047590,35.12
1789837047606,35.12
1789837047623,35.12
1789837047639,35.12
1789837047654,35.03
1789837047670,35.03
1789837047686,35.03
1789837047702,35.03
1789837047718,35.03
1789837047735,35.03
1789837047751,35.03
1789837047768,35.03
1789837047783,35
1789837047799,35
1789837047815,35
1789837047832,35
1789837047848,35
1789837047864,35
1789837047880,35
1789837047897,35
1789837047913,35.09
1789837047928,35.09
1789837047945,35.09
1789837047961,35.09
1789837047977,35.09
1789837047992,35.09
1789837048008,35.09
1789837048025,35.09
1789837048041,35.09
1789837048056,35.07
1789837048071,35.07
1789837048086,35.07
1789837048101,35.07
1789837048118,35.07
1789837048134,35.07
1789837048150,35.07
1789837048167,35.07
1789837048182,35.13
1789837048198,35.13
1789837048216,35.13
1789837048232,35.13
1789837048249,35.13
1789837048265,35.13
1789837048281,35.13
1789837048297,35.13
1789837048313,35.15
1789837048329,35.15
1789837048344,35.15
1789837048360,35.15
1789837048376,35.15
1789837048393,35.15
1789837048409,35.15
1789837048425,35.15
1789837048442,35.15
1789837048458,35.09
1789837048473,35.09
1789837048490,35.09
1789837048506,35.09
1789837048522,35.09
1789837048539,35.09
1789837048555,35.09
1789837048571,35.09
1789837048587,35.14
1789837048603,35.14
1789837048619,35.14
1789837048636,35.14
1789837048652,35.14
1789837048668,35.14
1789837048684,35.14
1789837048701,35.14
1789837048717,35.22
1789837048732,35.22
1789837048749,35.22
1789837048765,35.22
1789837048781,35.22
1789837048797,35.22
1789837048814,35.22
1789837048830,35.22
1789837048847,35.17
1789837048862,35.17
1789837048877,35.17
1789837048893,35.17
1789837048909,35.17
1789837048926,35.17
1789837048942,35.17
1789837048958,35.17
1789837048975,35.17
1789837048990,34.96
1789837049006,34.96
1789837049023,34.96
1789837049039,34.96
1789837049055,34.96
1789837049072,34.96
1789837049088,34.96
1789837049105,34.96
1789837049121,32.2
1789837049137,32.2
1789837049154,32.2
1789837049172,32.2
1789837049199,32.2
1789837049220,32.2
1789837049237,32.2
1789837049253,32.09
1789837049275,32.09
1789837049311,32.09
1789837049340,32.09
1789837049358,32.09
1789837049380,32.14
1789837049415,32.14
1789837049451,32.14
1789837049485,32.14
1789837049520,32.11
1789837049556,32.11
1789837049593,32.11
1789837049629,32.11
1789837049664,32.18
1789837049691,32.18
1789837049726,32.18
1789837049760,32.18
1789837049796,32.11
1789837049833,32.11
1789837049868,32.11
1789837049901,32.11
1789837049936,32.1
1789837049973,32.1
1789837050008,32.1
1789837050041,32.13
1789837050074,32.13
1789837050106,32.13
1789837050142,32.13
1789837050178,32.08
1789837050211,32.08
1789837050233,32.08
1789837050250,32.08
1789837050267,32.08
1789837050290,32.08
1789837050324,32.11
1789837050357,32.11
1789837050389,32.11
1789837050425,32.11
1789837050461,32
1789837050494,32
1789837050526,32
1789837050562,32
1789837050597,32.04
1789837050633,32.04
1789837050669,32.04
1789837050702,32.04
1789837050724,32.05
1789837050760,32.05
1789837050795,32.05
1789837050818,32.05
1789837050849,31.98
1789837050886,31.98
1789837050921,31.98
1789837050957,31.98
1789837050991,32.1
1789837051022,32.1
1789837051040,32.1
1789837051068,32.1
1789837051103,32.1
1789837051138,32.01
1789837051173,32.01
1789837051208,32.01
1789837051239,32.01
1789837051267,32.14
1789837051289,32.14
1789837051324,32.14
1789837051348,32.14
1789837051365,32.14
1789837051386,32.02
1789837051422,32.02
1789837051456,32.02
1789837051488,32.02
1789837051511,32.1
1789837051546,32.1
1789837051579,32.1
1789837051614,32.1
1789837051649,32.01
1789837051685,32.01
1789837051718,32.01
1789837051752,32.01
1789837051787,31.99
1789837051824,31.99
1789837051859,31.99
1789837051895,31.99
1789837051932,32.04
1789837051965,32.04
1789837052002,32.04
1789837052040,32.04
1789837052075,32.04
1789837052107,32.04
1789837052135,32.04
1789837052165,32.04
1789837052198,32.08
1789837052231,32.08
1789837052247,32.08
1789837052263,32.08
1789837052285,32.08
1789837052321,32.07
1789837052349,32.07
1789837052371,32.07
1789837052405,32.07
1789837052438,32.07
1789837052474,31.95
1789837052510,31.95
1789837052539,31.95
1789837052555,31.95
1789837052578,31.95
1789837052614,32.01
1789837052649,32.01
1789837052684,32.01
1789837052718,32.01
1789837052752,32.01
1789837052787,32.01
1789837052822,32.01
1789837052858,31.95
1789837052893,31.95
1789837052927,31.95
1789837052959,31.95
1789837052996,31.95
1789837053027,31.95
1789837053050,31.95
1789837053085,31.95
1789837053122,31.98
1789837054235,34.27
1789837054251,34.27
1789837054267,34.27
1789837054284,34.27
1789837054300,34.27
1789837054316,34.27
1789837054333,34.34
1789837054348,34.34
1789837054364,34.34
1789837054381,34.34
1789837054397,34.34
1789837054413,34.34
1789837054429,34.34
1789837054445,34.34
1789837054460,34.34
1789837054476,34.43
1789837054492,34.43
1789837054509,34.43
1789837054525,34.43
1789837054541,34.43
1789837054557,34.43
1789837054572,34.43
1789837054589,34.43
1789837054605,34.33
1789837054620,34.33
1789837054637,34.33
1789837054652,34.33
1789837054668,34.33
1789837054683,34.33
1789837054699,34.33
1789837054715,34.33
1789837054732,34.33
1789837054748,34.33
1789837054765,34.33
1789837054781,34.33
1789837054797,34.33
1789837054814,34.33
1789837054830,34.33
1789837054846,34.33
1789837054862,34.33
1789837054878,34.26
1789837054894,34.26
1789837054911,34.26
1789837054927,34.26
1789837054943,34.26
1789837054960,34.26
1789837054976,34.26
1789837054992,34.26
1789837055008,34.28
1789837055024,34.28
1789837055039,34.28
1789837055055,34.28
1789837055071,34.28
1789837055088,34.28
1789837055104,34.28
1789837055120,34.28
1789837055137,34.28
1789837055152,34.35
1789837055168,34.35
1789837055185,34.35
1789837055201,34.35
1789837055217,34.35
1789837055233,34.35
1789837055250,34.35
1789837055266,34.35
1789837055282,34.31
1789837055298,34.31
1789837055314,34.31
1789837055330,34.31
1789837055347,34.31
1789837055363,34.31
1789837055379,34.31
1789837055395,34.31
1789837055411,34.26
1789837055427,34.26
1789837055443,34.26
1789837055460,34.26
1789837055476,34.26
1789837055492,34.26
1789837055509,34.26
1789837055525,34.26
1789837055541,34.34
1789837055557,34.34
1789837055573,34.34
1789837055589,34.34
1789837055605,34.34
1789837055622,34.34
1789837055638,34.34
1789837055654,34.34
1789837055671,34.34
1789837055686,34.35
1789837055702,34.35
1789837055719,34.35
1789837055735,34.35
1789837055751,34.35
1789837055768,34.35
1789837055784,34.35
1789837055800,34.35
1789837055816,34.42
1789837055832,34.42
1789837055848,34.42
1789837055864,34.42
1789837055881,34.42
1789837055897,34.42
1789837055913,34.42
1789837055930,34.42
1789837055946,34.34
1789837055961,34.34
1789837055977,34.34
1789837055994,34.34
1789837056010,34.34
1789837056026,34.34
1789837056041,34.34
1789837056058,34.34
1789837056074,34.35
1789837056090,34.35
1789837056106,34.35
1789837056122,34.35
1789837056138,34.35
1789837056155,34.35
1789837056171,34.35
1789837056187,34.35
1789837056204,34.35
1789837056220,34.38
1789837056237,34.38
1789837056253,34.38
