sp_us,minion_w,sram_w,noc_w,board_w
53498742031,11.331,2.666,4.700,38.27
53498875631,11.322,2.651,4.668,37.52
53499009898,11.303,2.572,4.541,36.85
53499142831,11.287,2.507,4.442,36.26
53499276031,11.274,2.450,4.355,35.74
53499410918,11.256,2.400,4.277,35.28
53499544031,11.245,2.353,4.204,34.89
53499677631,11.231,2.315,4.146,34.53
53499812432,11.217,2.281,4.093,34.23
53499946031,11.209,2.250,4.045,33.96
53500079631,11.199,2.226,4.007,33.72
53500214431,11.191,2.205,3.974,33.52
53500348031,11.186,2.186,3.939,33.33
53500481631,11.181,2.169,3.911,33.17
53500616023,11.171,2.153,3.888,33.03
53500749231,11.161,2.139,3.867,32.90
53500882831,11.151,2.128,3.845,32.79
53501017298,11.144,2.117,3.831,32.69
53501150831,11.140,2.108,3.816,32.61
53501284031,11.127,2.101,3.803,32.53
53501418513,11.118,2.093,3.795,32.46
53501552031,11.115,2.085,3.783,32.40
53501685231,11.115,2.080,3.774,32.35
53501819735,11.111,2.075,3.766,32.31
53501953231,11.108,2.069,3.759,32.26
53502086831,11.109,2.065,3.754,32.23
53502221486,11.105,2.064,3.748,32.19
53502354431,11.104,2.060,3.741,32.17
53502487631,11.099,2.059,3.738,32.14
53502622507,11.097,2.059,3.729,32.12
53502756031,11.093,2.058,3.726,32.10
53502889632,11.084,2.057,3.722,32.08
53503024274,11.088,2.055,3.719,32.25
53503157631,11.227,2.057,3.717,32.58
53503291231,11.531,2.062,3.717,32.86
53503425725,11.773,2.069,3.716,33.12
53503559231,11.992,2.076,3.712,33.34
53503692831,12.177,2.080,3.713,33.55
53503827477,12.347,2.085,3.714,33.72
53503960831,12.495,2.087,3.713,33.87
53504094431,12.618,2.090,3.712,34.00
53504229079,12.746,2.097,3.715,34.12
53504362431,12.849,2.099,3.714,34.23
53504496031,12.930,2.103,3.717,34.32
53504630831,13.020,2.105,3.716,34.41
53504764431,13.085,2.108,3.718,34.48
53504897631,13.142,2.110,3.720,34.55
53505032359,13.191,2.111,3.723,34.61
53505165632,13.220,2.112,3.724,34.66
53505299231,13.264,2.113,3.725,34.70
53505433810,13.301,2.113,3.725,34.74
53505567231,13.337,2.114,3.727,34.77
53505700832,13.349,2.115,3.725,34.81
53505835311,13.366,2.115,3.728,34.84
53505968831,13.389,2.118,3.731,34.86
53506102431,13.412,2.118,3.730,34.88
53506236978,13.438,2.119,3.730,34.91
53506370432,13.436,2.119,3.734,34.93
53506504031,13.460,2.119,3.734,34.95
53506638702,13.478,2.121,3.736,34.96
53506772031,13.497,2.121,3.737,34.97
53506905631,13.509,2.123,3.745,34.98
53507040278,13.516,2.123,3.745,34.99
53507173631,13.528,2.122,3.743,35.00
53507307231,13.538,2.125,3.747,35.00
53507441893,13.548,2.125,3.744,35.01
53507575231,13.555,2.127,3.744,35.03
53507708831,13.534,2.128,3.743,35.03
53507843487,13.543,2.130,3.744,35.03
53507976832,13.558,2.129,3.747,35.03
53508110431,13.576,2.130,3.747,35.04
53508245231,13.556,2.132,3.747,35.04
53508378831,13.541,2.133,3.749,35.05
53508512031,13.525,2.134,3.751,35.06
53508646685,13.536,2.133,3.744,35.06
53508780032,13.556,2.134,3.740,35.07
53508913631,13.567,2.135,3.743,35.07
53509048186,13.571,2.135,3.741,35.08
53509181631,13.550,2.135,3.746,34.78
53509315231,13.278,2.127,3.743,34.46
53509449788,13.016,2.118,3.743,34.16
53509583231,12.791,2.110,3.739,33.91
53509716831,12.581,2.103,3.737,33.68
53509851631,12.406,2.096,3.739,33.49
53509985231,12.252,2.091,3.737,33.31
53510118831,12.118,2.086,3.731,33.16
53510253300,11.991,2.082,3.729,33.03
53510386431,11.886,2.077,3.731,32.91
53510519631,11.784,2.076,3.729,32.81
53510652831,11.700,2.073,3.732,32.71
53510786031,11.632,2.069,3.730,32.63
53510919631,11.569,2.069,3.731,32.56
53511053231,11.511,2.067,3.729,32.49
53511186431,11.467,2.066,3.726,32.44
53511320031,11.415,2.064,3.723,32.38
53511453631,11.383,2.061,3.724,32.34
53511587231,11.344,2.061,3.726,32.30
53511720831,11.310,2.059,3.724,32.27
53511854431,11.286,2.058,3.723,32.24
53511988031,11.263,2.056,3.727,32.21
53512121231,11.239,2.055,3.726,32.18
53512254431,11.222,2.055,3.724,32.16
53512388831,11.208,2.051,3.725,32.14
53512522431,11.197,2.050,3.723,32.12
53512656031,11.184,2.048,3.728,32.11
