epoch_ms,watts,minion_mhz,minion_mv
1790195364714,29.42,600.0,518.0
1790195364847,29.56,600.0,518.0
1790195364972,29.5,600.0,518.0
1790195365096,29.63,600.0,518.0
1790195365227,29.5,600.0,518.0
1790195365359,29.5,600.0,518.0
1790195365484,29.5,600.0,518.0
1790195365625,29.56,600.0,518.0
1790195365766,29.42,600.0,518.0
1790195365897,29.43,600.0,518.0
1790195366031,29.5,600.0,518.0
1790195366163,29.53,600.0,518.0
1790195366293,29.43,600.0,518.0
1790195366433,29.43,600.0,518.0
1790195366574,29.53,600.0,518.0
1790195366706,29.55,600.0,518.0
1790195366835,29.53,600.0,518.0
1790195366969,29.5,600.0,518.0
1790195367107,29.53,600.0,518.0
1790195367233,29.5,600.0,518.0
1790195367372,29.53,600.0,518.0
1790195367494,29.35,600.0,518.0
1790195367628,29.5,600.0,518.0
1790195367769,29.53,600.0,518.0
1790195367908,29.49,600.0,518.0
1790195368048,29.53,600.0,518.0
1790195368187,29.43,600.0,518.0
1790195368320,29.43,600.0,518.0
1790195368454,29.43,600.0,518.0
1790195368580,29.46,600.0,518.0
1790195368721,29.47,600.0,518.0
1790195368839,29.44,600.0,518.0
1790195368966,29.48,600.0,518.0
1790195369108,29.42,600.0,518.0
1790195369251,29.42,600.0,518.0
1790195369382,29.44,600.0,518.0
1790195369518,29.42,600.0,518.0
1790195369659,29.46,600.0,518.0
1790195369786,29.38,600.0,518.0
1790195369921,29.47,600.0,518.0
1790195370062,29.37,600.0,518.0
1790195370203,29.4,600.0,518.0
1790195370342,29.34,600.0,518.0
1790195370474,29.43,600.0,518.0
1790195370613,29.45,600.0,518.0
1790195370745,29.38,600.0,518.0
1790195370843,29.47,600.0,518.0
1790195370941,29.47,600.0,518.0
1790195371038,32.31,600.0,518.0
1790195371135,32.45,600.0,518.0
1790195371232,32.45,600.0,518.0
1790195371328,32.45,600.0,518.0
1790195371425,32.42,600.0,518.0
1790195371522,32.42,600.0,518.0
1790195371619,32.29,600.0,518.0
1790195371717,32.44,600.0,518.0
1790195371813,32.05,600.0,518.0
1790195371910,32.05,600.0,518.0
1790195372007,29.5,600.0,518.0
1790195372103,32.29,600.0,518.0
1790195372200,32.29,600.0,518.0
1790195372295,32.48,600.0,518.0
1790195372392,31.89,600.0,518.0
1790195372489,29.55,600.0,518.0
1790195372585,29.55,600.0,518.0
1790195372682,32.42,600.0,518.0
1790195372779,32.41,600.0,518.0
1790195372876,32.41,600.0,518.0
1790195372973,32.36,600.0,518.0
1790195373070,29.59,600.0,518.0
1790195373167,29.59,600.0,518.0
1790195373265,32.34,600.0,518.0
1790195373362,32.32,600.0,518.0
1790195373459,32.37,600.0,518.0
1790195373556,32.37,600.0,518.0
1790195373653,31.66,600.0,518.0
1790195373751,32.38,600.0,518.0
1790195373849,32.38,600.0,518.0
1790195373946,32.26,600.0,518.0
1790195374041,32.35,600.0,518.0
1790195374138,32.35,600.0,518.0
1790195374233,31.88,600.0,518.0
1790195374330,32.36,600.0,518.0
1790195374427,32.38,600.0,518.0
1790195374522,32.38,600.0,518.0
1790195374619,32.49,600.0,518.0
1790195374717,31.92,600.0,518.0
1790195374813,31.92,600.0,518.0
1790195374908,32.31,600.0,518.0
1790195375006,32.45,600.0,518.0
1790195375102,32.45,600.0,518.0
1790195375198,32.51,600.0,518.0
1790195375295,32.09,600.0,518.0
1790195375390,29.52,600.0,518.0
1790195375488,29.52,600.0,518.0
1790195375604,29.55,600.0,518.0
1790195375735,29.55,600.0,518.0
1790195375843,29.59,600.0,518.0
1790195375972,29.43,600.0,518.0
1790195376113,29.53,600.0,518.0
1790195376257,29.47,600.0,518.0
1790195376390,29.5,600.0,518.0
1790195376514,29.53,600.0,518.0
1790195376656,29.45,600.0,518.0
1790195376785,29.5,600.0,518.0
1790195376919,29.43,600.0,518.0
1790195377062,29.53,600.0,518.0
1790195377197,29.37,600.0,518.0
1790195377328,29.55,600.0,518.0
1790195377471,29.34,600.0,518.0
1790195377604,29.47,600.0,518.0
1790195377746,29.5,600.0,518.0
1790195377886,29.37,600.0,518.0
1790195378017,29.47,600.0,518.0
1790195378148,29.43,600.0,518.0
1790195378275,29.38,600.0,518.0
1790195378414,29.42,600.0,518.0
1790195378547,29.43,600.0,518.0
1790195378683,29.4,600.0,518.0
1790195378802,29.42,600.0,518.0
1790195378936,29.41,600.0,518.0
1790195379067,29.36,600.0,518.0
1790195379201,29.36,600.0,518.0
1790195379340,29.5,600.0,518.0
1790195379479,29.5,600.0,518.0
1790195379580,29.38,600.0,518.0
1790195379677,35.03,600.0,518.0
1790195379774,34.88,600.0,518.0
1790195379871,34.88,600.0,518.0
1790195379969,34.96,600.0,518.0
1790195380064,35.02,600.0,518.0
1790195380161,35.02,600.0,518.0
1790195380257,35.0,600.0,518.0
1790195380355,35.0,600.0,518.0
1790195380452,35.0,600.0,518.0
1790195380548,35.05,600.0,518.0
1790195380646,34.67,600.0,518.0
1790195380742,35.09,600.0,518.0
1790195380839,35.09,600.0,518.0
1790195380936,35.02,600.0,518.0
1790195381031,35.13,600.0,518.0
1790195381126,35.13,600.0,518.0
1790195381222,35.18,600.0,518.0
1790195381320,35.14,600.0,518.0
1790195381417,35.14,600.0,518.0
1790195381514,35.19,600.0,518.0
1790195381611,35.19,600.0,518.0
1790195381708,35.13,600.0,518.0
1790195381805,35.13,600.0,518.0
1790195381903,35.15,600.0,518.0
1790195382001,35.23,600.0,518.0
1790195382097,35.23,600.0,518.0
1790195382195,34.54,600.0,518.0
1790195382292,35.23,600.0,518.0
1790195382387,35.18,600.0,518.0
1790195382483,35.18,600.0,518.0
1790195382581,35.25,600.0,518.0
1790195382677,35.12,600.0,518.0
1790195382774,35.12,600.0,518.0
1790195382870,35.22,600.0,518.0
1790195382968,35.18,600.0,518.0
1790195383065,35.18,600.0,518.0
1790195383162,35.27,600.0,518.0
1790195383259,35.21,600.0,518.0
1790195383356,35.22,600.0,518.0
1790195383454,35.22,600.0,518.0
1790195383550,35.27,600.0,518.0
1790195383648,35.23,600.0,518.0
1790195383745,35.23,600.0,518.0
1790195383865,29.77,600.0,518.0
1790195383990,29.69,600.0,518.0
1790195384132,29.64,600.0,518.0
1790195384271,29.62,600.0,518.0
1790195384406,29.63,600.0,518.0
1790195384548,29.63,600.0,518.0
1790195384682,29.57,600.0,518.0
1790195384807,29.53,600.0,518.0
1790195384947,29.56,600.0,518.0
1790195385081,29.53,600.0,518.0
1790195385212,29.59,600.0,518.0
1790195385351,29.51,600.0,518.0
1790195385483,29.6,600.0,518.0
1790195385608,29.42,600.0,518.0
1790195385744,29.5,600.0,518.0
1790195385872,29.56,600.0,518.0
1790195386013,29.53,600.0,518.0
1790195386145,29.48,600.0,518.0
1790195386288,29.47,600.0,518.0
1790195386418,29.5,600.0,518.0
1790195386549,29.51,600.0,518.0
1790195386685,29.5,600.0,518.0
1790195386812,29.5,600.0,518.0
1790195386954,29.5,600.0,518.0
1790195387094,29.43,600.0,518.0
1790195387220,29.42,600.0,518.0
