epoch_ms,watts,minion_mhz,minion_mv
1790194326237,33.03,600.0,518.0
1790194326370,32.89,600.0,518.0
1790194326450,32.92,600.0,518.0
1790194326522,32.92,600.0,518.0
1790194326602,32.81,600.0,518.0
1790194326741,32.81,600.0,518.0
1790194326822,32.72,600.0,518.0
1790194326903,32.72,600.0,518.0
1790194326972,32.63,600.0,518.0
1790194327106,32.69,600.0,518.0
1790194327186,32.69,600.0,518.0
1790194327266,32.65,600.0,518.0
1790194327347,32.65,600.0,518.0
1790194327480,32.62,600.0,518.0
1790194327560,32.56,600.0,518.0
1790194327641,32.56,600.0,518.0
1790194327721,32.56,600.0,518.0
1790194327856,32.49,600.0,518.0
1790194327936,32.48,600.0,518.0
1790194328016,32.48,600.0,518.0
1790194328096,32.42,600.0,518.0
1790194328233,32.44,600.0,518.0
1790194328313,32.51,600.0,518.0
1790194328385,32.51,600.0,518.0
1790194328464,32.39,600.0,518.0
1790194328601,32.48,600.0,518.0
1790194328682,32.48,600.0,518.0
1790194328747,32.38,600.0,518.0
1790194328827,32.38,600.0,518.0
1790194328962,32.32,600.0,518.0
1790194329042,32.3,600.0,518.0
1790194329110,32.3,600.0,518.0
1790194329181,32.43,600.0,518.0
1790194329317,32.22,600.0,518.0
1790194329396,32.25,600.0,518.0
1790194329477,32.25,600.0,518.0
1790194329547,32.31,600.0,518.0
1790194329672,32.2,600.0,518.0
1790194329751,32.2,600.0,518.0
1790194329832,32.2,600.0,518.0
1790194329913,32.2,600.0,518.0
1790194330045,32.2,600.0,518.0
1790194330117,32.12,600.0,518.0
1790194330197,32.31,600.0,518.0
1790194330268,32.31,600.0,518.0
1790194330398,32.14,600.0,518.0
1790194330478,32.19,600.0,518.0
1790194330553,32.19,600.0,518.0
1790194330633,32.13,600.0,518.0
1790194330765,32.08,600.0,518.0
1790194330845,32.08,600.0,518.0
1790194330926,32.05,600.0,518.0
1790194331006,32.12,600.0,518.0
1790194331142,32.03,600.0,518.0
1790194331223,32.03,600.0,518.0
1790194331303,32.03,600.0,518.0
1790194331383,32.03,600.0,518.0
1790194331499,32.09,600.0,518.0
1790194331579,32.05,600.0,518.0
1790194331658,32.05,600.0,518.0
1790194331738,32.05,600.0,518.0
1790194331874,31.99,600.0,518.0
1790194331953,32.03,600.0,518.0
1790194332034,32.03,600.0,518.0
1790194332114,31.94,600.0,518.0
1790194332246,31.93,600.0,518.0
1790194332315,31.93,600.0,518.0
1790194332381,31.97,600.0,518.0
1790194332446,31.97,600.0,518.0
1790194332542,34.26,600.0,518.0
1790194332607,34.26,600.0,518.0
1790194332672,34.32,600.0,518.0
1790194332737,34.32,600.0,518.0
1790194332833,34.33,600.0,518.0
1790194332899,34.33,600.0,518.0
1790194332963,34.36,600.0,518.0
1790194333028,34.36,600.0,518.0
1790194333125,34.33,600.0,518.0
1790194333190,34.32,600.0,518.0
1790194333255,34.32,600.0,518.0
1790194333320,34.29,600.0,518.0
1790194333417,34.29,600.0,518.0
1790194333482,34.37,600.0,518.0
1790194333546,34.37,600.0,518.0
1790194333611,34.32,600.0,518.0
1790194333706,34.32,600.0,518.0
1790194333771,34.31,600.0,518.0
1790194333836,34.31,600.0,518.0
1790194333901,34.29,600.0,518.0
1790194333998,34.25,600.0,518.0
1790194334062,34.25,600.0,518.0
1790194334127,34.32,600.0,518.0
1790194334191,34.32,600.0,518.0
1790194334288,34.28,600.0,518.0
1790194334352,34.28,600.0,518.0
1790194334417,34.32,600.0,518.0
1790194334482,34.32,600.0,518.0
1790194334579,34.32,600.0,518.0
1790194334644,34.32,600.0,518.0
1790194334709,34.29,600.0,518.0
1790194334773,34.29,600.0,518.0
1790194334870,34.19,600.0,518.0
1790194334935,34.4,600.0,518.0
1790194334999,34.4,600.0,518.0
1790194335064,34.28,600.0,518.0
1790194335161,34.28,600.0,518.0
1790194335226,34.16,600.0,518.0
1790194335290,34.16,600.0,518.0
1790194335355,34.28,600.0,518.0
1790194335452,34.28,600.0,518.0
1790194335517,34.34,600.0,518.0
1790194335581,34.34,600.0,518.0
1790194335646,34.37,600.0,518.0
1790194335743,34.23,600.0,518.0
1790194335807,34.23,600.0,518.0
1790194335873,34.23,600.0,518.0
1790194335937,34.25,600.0,518.0
1790194336035,34.27,600.0,518.0
1790194336099,34.27,600.0,518.0
1790194336164,34.37,600.0,518.0
1790194336228,34.37,600.0,518.0
1790194336326,34.19,600.0,518.0
1790194336391,34.19,600.0,518.0
1790194336456,34.22,600.0,518.0
1790194336521,34.22,600.0,518.0
1790194336617,34.21,600.0,518.0
1790194336683,34.21,600.0,518.0
1790194336747,31.65,600.0,518.0
1790194336811,31.65,600.0,518.0
1790194336927,31.53,600.0,518.0
1790194337008,31.58,600.0,518.0
1790194337088,31.67,600.0,518.0
1790194337169,31.67,600.0,518.0
1790194337311,31.52,600.0,518.0
1790194337391,31.62,600.0,518.0
1790194337471,31.62,600.0,518.0
1790194337550,31.56,600.0,518.0
1790194337684,31.52,600.0,518.0
1790194337764,31.5,600.0,518.0
1790194337829,31.5,600.0,518.0
1790194337896,31.5,600.0,518.0
1790194338029,31.54,600.0,518.0
1790194338108,31.54,600.0,518.0
1790194338188,31.45,600.0,518.0
1790194338269,31.45,600.0,518.0
1790194338401,31.52,600.0,518.0
1790194338481,31.46,600.0,518.0
1790194338560,31.46,600.0,518.0
1790194338626,31.3,600.0,518.0
1790194338757,31.44,600.0,518.0
1790194338838,31.39,600.0,518.0
1790194338918,31.39,600.0,518.0
1790194338998,31.37,600.0,518.0
1790194339128,31.43,600.0,518.0
1790194339207,31.43,600.0,518.0
1790194339287,31.37,600.0,518.0
1790194339368,31.4,600.0,518.0
1790194339491,31.4,600.0,518.0
1790194339571,31.41,600.0,518.0
1790194339642,31.4,600.0,518.0
1790194339722,31.4,600.0,518.0
1790194339846,31.36,600.0,518.0
1790194339926,31.39,600.0,518.0
1790194339998,31.39,600.0,518.0
1790194340078,31.27,600.0,518.0
1790194340219,31.32,600.0,518.0
1790194340300,31.32,600.0,518.0
1790194340380,31.36,600.0,518.0
1790194340460,31.25,600.0,518.0
1790194340587,31.4,600.0,518.0
1790194340667,31.4,600.0,518.0
1790194340739,31.32,600.0,518.0
1790194340818,31.32,600.0,518.0
1790194340949,31.32,600.0,518.0
1790194341029,31.35,600.0,518.0
1790194341110,31.35,600.0,518.0
1790194341191,31.3,600.0,518.0
1790194341325,31.36,600.0,518.0
1790194341405,31.27,600.0,518.0
1790194341486,31.27,600.0,518.0
1790194341566,31.33,600.0,518.0
1790194341700,31.3,600.0,518.0
1790194341781,31.3,600.0,518.0
1790194341847,31.32,600.0,518.0
1790194341912,31.32,600.0,518.0
1790194342009,33.47,600.0,518.0
1790194342074,33.47,600.0,518.0
1790194342138,33.48,600.0,518.0
1790194342203,33.48,600.0,518.0
1790194342300,33.57,600.0,518.0
1790194342365,33.45,600.0,518.0
1790194342430,33.45,600.0,518.0
1790194342495,33.51,600.0,518.0
1790194342592,33.51,600.0,518.0
1790194342657,33.44,600.0,518.0
1790194342721,33.44,600.0,518.0
1790194342786,33.48,600.0,518.0
1790194342883,33.48,600.0,518.0
1790194342948,33.45,600.0,518.0
1790194343013,33.45,600.0,518.0
1790194343078,33.51,600.0,518.0
1790194343175,33.48,600.0,518.0
1790194343239,33.48,600.0,518.0
1790194343305,33.56,600.0,518.0
1790194343368,33.56,600.0,518.0
1790194343465,33.52,600.0,518.0
1790194343529,33.52,600.0,518.0
1790194343594,33.46,600.0,518.0
1790194343660,33.46,600.0,518.0
1790194343757,33.42,600.0,518.0
1790194343822,33.42,600.0,518.0
1790194343887,33.51,600.0,518.0
1790194343952,33.51,600.0,518.0
1790194344048,33.43,600.0,518.0
1790194344112,33.47,600.0,518.0
1790194344176,33.47,600.0,518.0
1790194344242,33.47,600.0,518.0
1790194344338,33.48,600.0,518.0
1790194344404,33.47,600.0,518.0
1790194344468,33.47,600.0,518.0
1790194344534,33.51,600.0,518.0
1790194344630,33.51,600.0,518.0
1790194344695,33.44,600.0,518.0
1790194344760,33.44,600.0,518.0
1790194344825,33.42,600.0,518.0
1790194344922,33.47,600.0,518.0
1790194344986,33.47,600.0,518.0
1790194345051,33.47,600.0,518.0
1790194345115,33.48,600.0,518.0
1790194345213,33.46,600.0,518.0
1790194345277,33.46,600.0,518.0
1790194345342,33.45,600.0,518.0
1790194345408,33.45,600.0,518.0
1790194345505,33.44,600.0,518.0
1790194345570,33.44,600.0,518.0
1790194345635,33.57,600.0,518.0
1790194345699,33.57,600.0,518.0
1790194345796,33.54,600.0,518.0
1790194345861,33.54,600.0,518.0
1790194345925,33.44,600.0,518.0
1790194345991,33.44,600.0,518.0
1790194346087,31.37,600.0,518.0
1790194346158,31.27,600.0,518.0
1790194346230,31.27,600.0,518.0
1790194346301,31.35,600.0,518.0
1790194346443,31.32,600.0,518.0
1790194346514,31.32,600.0,518.0
1790194346595,31.29,600.0,518.0
1790194346666,31.2,600.0,518.0
1790194346808,31.18,600.0,518.0
1790194346879,31.18,600.0,518.0
1790194346949,31.26,600.0,518.0
1790194347030,31.26,600.0,518.0
1790194347162,31.26,600.0,518.0
1790194347242,31.27,600.0,518.0
1790194347323,31.27,600.0,518.0
1790194347401,31.25,600.0,518.0
1790194347526,31.27,600.0,518.0
1790194347606,31.19,600.0,518.0
1790194347686,31.19,600.0,518.0
1790194347765,31.26,600.0,518.0
1790194347906,31.18,600.0,518.0
1790194347986,31.18,600.0,518.0
1790194348066,31.18,600.0,518.0
1790194348147,31.2,600.0,518.0
1790194348279,31.2,600.0,518.0
1790194348358,31.2,600.0,518.0
1790194348438,31.17,600.0,518.0
1790194348515,31.17,600.0,518.0
1790194348649,31.19,600.0,518.0
1790194348729,31.17,600.0,518.0
1790194348810,31.17,600.0,518.0
1790194348889,31.17,600.0,518.0
1790194349005,31.14,600.0,518.0
1790194349069,31.14,600.0,518.0
1790194349150,31.09,600.0,518.0
1790194349229,31.26,600.0,518.0
1790194349361,31.12,600.0,518.0
1790194349441,31.12,600.0,518.0
1790194349508,31.1,600.0,518.0
1790194349580,31.1,600.0,518.0
1790194349714,31.17,600.0,518.0
1790194349783,31.11,600.0,518.0
1790194349853,31.11,600.0,518.0
1790194349919,31.09,600.0,518.0
1790194350034,31.07,600.0,518.0
1790194350113,31.07,600.0,518.0
1790194350184,31.16,600.0,518.0
1790194350264,31.16,600.0,518.0
1790194350396,31.06,600.0,518.0
1790194350476,31.05,600.0,518.0
1790194350548,31.05,600.0,518.0
1790194350620,31.03,600.0,518.0
1790194350752,31.12,600.0,518.0
1790194350817,31.12,600.0,518.0
1790194350898,31.1,600.0,518.0
1790194350978,31.06,600.0,518.0
1790194351111,31.06,600.0,518.0
1790194351176,31.04,600.0,518.0
1790194351241,31.04,600.0,518.0
1790194351306,33.42,600.0,518.0
1790194351403,33.51,600.0,518.0
1790194351468,33.51,600.0,518.0
1790194351533,33.47,600.0,518.0
1790194351597,33.47,600.0,518.0
1790194351695,33.45,600.0,518.0
1790194351759,33.45,600.0,518.0
1790194351824,33.55,600.0,518.0
1790194351889,33.55,600.0,518.0
1790194351986,33.44,600.0,518.0
1790194352051,33.44,600.0,518.0
1790194352116,33.7,600.0,518.0
1790194352180,33.7,600.0,518.0
1790194352277,33.42,600.0,518.0
1790194352342,33.46,600.0,518.0
1790194352407,33.46,600.0,518.0
1790194352472,33.46,600.0,518.0
1790194352570,33.6,600.0,518.0
1790194352635,33.57,600.0,518.0
1790194352700,33.57,600.0,518.0
1790194352765,33.58,600.0,518.0
1790194352863,33.58,600.0,518.0
1790194352928,31.29,600.0,518.0
1790194352993,31.29,600.0,518.0
1790194353056,33.43,600.0,518.0
1790194353153,33.43,600.0,518.0
1790194353218,33.52,600.0,518.0
1790194353283,33.52,600.0,518.0
1790194353347,33.57,600.0,518.0
1790194353445,33.56,600.0,518.0
1790194353509,33.56,600.0,518.0
1790194353575,33.61,600.0,518.0
1790194353639,33.61,600.0,518.0
1790194353735,33.51,600.0,518.0
1790194353799,33.51,600.0,518.0
1790194353863,33.54,600.0,518.0
1790194353928,33.54,600.0,518.0
