epoch_ms,watts,minion_mhz,minion_mv
1790194163217,24.25,600.0,523.0
1790194163348,24.25,600.0,523.0
1790194163473,24.25,600.0,523.0
1790194163613,24.21,600.0,523.0
1790194163752,24.29,600.0,523.0
1790194163876,24.29,600.0,523.0
1790194164016,24.25,600.0,523.0
1790194164148,24.25,600.0,523.0
1790194164282,24.25,600.0,523.0
1790194164410,24.25,600.0,523.0
1790194164551,24.17,600.0,523.0
1790194164686,24.25,600.0,523.0
1790194164809,24.25,600.0,523.0
1790194164931,24.21,600.0,523.0
1790194165063,24.21,600.0,523.0
1790194165205,24.25,600.0,523.0
1790194165333,24.25,600.0,523.0
1790194165468,24.25,600.0,523.0
1790194165604,24.25,600.0,523.0
1790194165733,24.25,600.0,523.0
1790194165858,24.29,600.0,523.0
1790194165997,24.29,600.0,523.0
1790194166135,24.25,600.0,523.0
1790194166267,24.15,600.0,523.0
1790194166399,24.15,600.0,523.0
1790194166535,24.31,600.0,523.0
1790194166675,24.31,600.0,523.0
1790194166804,24.21,600.0,523.0
1790194166936,24.28,600.0,523.0
1790194167063,24.28,600.0,523.0
1790194167204,24.25,600.0,523.0
1790194167336,24.25,600.0,523.0
1790194167469,24.25,600.0,523.0
1790194167609,24.18,600.0,523.0
1790194167739,24.18,600.0,523.0
1790194167876,24.25,600.0,523.0
1790194168017,24.25,600.0,523.0
1790194168158,24.21,600.0,523.0
1790194168298,24.25,600.0,523.0
1790194168439,24.25,600.0,523.0
1790194168579,24.17,600.0,523.0
1790194168719,24.17,600.0,523.0
1790194168861,24.22,600.0,523.0
1790194168991,24.21,600.0,523.0
1790194169129,24.21,600.0,523.0
1790194169262,24.21,600.0,523.0
1790194169358,24.21,600.0,523.0
1790194169454,27.03,600.0,522.0
1790194169550,27.03,600.0,522.0
1790194169646,27.03,600.0,522.0
1790194169741,27.07,600.0,522.0
1790194169838,27.07,600.0,522.0
1790194169933,26.66,600.0,523.0
1790194170029,26.66,600.0,523.0
1790194170125,26.99,600.0,522.0
1790194170220,26.99,600.0,522.0
1790194170317,26.99,600.0,522.0
1790194170412,27.07,600.0,522.0
1790194170508,27.07,600.0,522.0
1790194170604,26.7,600.0,522.0
1790194170701,26.7,600.0,523.0
1790194170797,26.7,600.0,522.0
1790194170893,27.03,600.0,522.0
1790194170989,27.03,600.0,522.0
1790194171084,27.09,600.0,522.0
1790194171180,27.09,600.0,522.0
1790194171277,26.72,600.0,522.0
1790194171372,26.72,600.0,523.0
1790194171468,26.72,600.0,522.0
1790194171563,27.13,600.0,522.0
1790194171659,27.13,600.0,522.0
1790194171756,27.12,600.0,522.0
1790194171852,27.12,600.0,522.0
1790194171949,27.12,600.0,522.0
1790194172044,26.4,600.0,522.0
1790194172141,26.4,600.0,522.0
1790194172235,27.03,600.0,522.0
1790194172331,27.03,600.0,522.0
1790194172427,27.2,600.0,522.0
1790194172523,27.2,600.0,522.0
1790194172620,27.2,600.0,523.0
1790194172715,24.36,600.0,522.0
1790194172811,24.36,600.0,522.0
1790194172907,27.09,600.0,522.0
1790194173003,27.09,600.0,522.0
1790194173100,27.09,600.0,522.0
1790194173195,27.17,600.0,522.0
1790194173290,27.17,600.0,523.0
1790194173386,26.07,600.0,522.0
1790194173482,26.07,600.0,522.0
1790194173578,27.09,600.0,522.0
1790194173674,27.09,600.0,522.0
1790194173770,27.09,600.0,522.0
1790194173865,27.07,600.0,522.0
1790194173962,27.07,600.0,523.0
1790194174058,24.44,600.0,523.0
1790194174171,24.44,600.0,523.0
1790194174294,24.41,600.0,523.0
1790194174436,24.41,600.0,523.0
1790194174568,24.34,600.0,523.0
1790194174694,24.31,600.0,523.0
1790194174791,24.31,600.0,523.0
1790194174929,24.34,600.0,523.0
1790194175062,24.34,600.0,523.0
1790194175204,24.28,600.0,523.0
1790194175337,24.28,600.0,523.0
1790194175468,24.36,600.0,523.0
1790194175598,24.31,600.0,523.0
1790194175737,24.31,600.0,523.0
1790194175871,24.29,600.0,523.0
1790194176001,24.29,600.0,523.0
1790194176130,24.2,600.0,523.0
1790194176266,24.28,600.0,523.0
1790194176385,24.28,600.0,523.0
1790194176521,24.29,600.0,523.0
1790194176653,24.29,600.0,523.0
1790194176784,24.25,600.0,523.0
1790194176923,24.37,600.0,523.0
1790194177048,24.37,600.0,523.0
1790194177186,24.31,600.0,523.0
1790194177326,24.31,600.0,523.0
1790194177465,24.21,600.0,523.0
1790194177597,24.21,600.0,523.0
1790194177727,24.21,600.0,523.0
1790194177862,24.31,600.0,523.0
1790194177992,24.31,600.0,523.0
1790194178118,24.24,600.0,523.0
1790194178215,24.24,600.0,523.0
1790194178311,28.3,600.0,522.0
1790194178407,28.3,600.0,522.0
1790194178504,28.3,600.0,522.0
1790194178599,28.56,600.0,522.0
1790194178695,28.56,600.0,522.0
1790194178792,24.39,600.0,522.0
1790194178888,24.39,600.0,522.0
1790194178984,24.39,600.0,522.0
1790194179079,28.53,600.0,522.0
1790194179174,28.53,600.0,522.0
1790194179270,28.5,600.0,522.0
1790194179366,28.5,600.0,522.0
1790194179462,28.53,600.0,522.0
1790194179558,28.53,600.0,522.0
1790194179653,28.53,600.0,522.0
1790194179748,28.7,600.0,522.0
1790194179845,28.7,600.0,522.0
1790194179941,28.68,600.0,522.0
1790194180038,28.68,600.0,522.0
1790194180133,28.68,600.0,522.0
1790194180228,28.62,600.0,522.0
1790194180325,28.62,600.0,522.0
1790194180421,27.34,600.0,522.0
1790194180516,27.34,600.0,522.0
1790194180611,28.66,600.0,522.0
1790194180708,28.66,600.0,522.0
1790194180804,28.66,600.0,522.0
1790194180899,28.58,600.0,522.0
1790194180995,28.58,600.0,522.0
1790194181091,28.71,600.0,522.0
1790194181188,28.71,600.0,522.0
1790194181284,28.71,600.0,522.0
1790194181379,28.68,600.0,522.0
1790194181475,28.68,600.0,522.0
1790194181570,28.71,600.0,522.0
1790194181666,28.71,600.0,522.0
1790194181762,28.85,600.0,522.0
1790194181859,28.85,600.0,522.0
1790194181955,28.85,600.0,522.0
1790194182050,28.73,600.0,522.0
1790194182146,28.73,600.0,522.0
1790194182243,28.53,600.0,522.0
1790194182338,28.53,600.0,522.0
1790194182434,28.53,600.0,522.0
1790194182529,28.7,600.0,522.0
1790194182625,28.7,600.0,523.0
1790194182728,24.49,600.0,523.0
1790194182847,24.49,600.0,523.0
1790194182981,24.45,600.0,523.0
1790194183121,24.31,600.0,523.0
1790194183253,24.31,600.0,523.0
1790194183384,24.48,600.0,523.0
1790194183516,24.48,600.0,523.0
1790194183655,24.34,600.0,523.0
1790194183794,24.34,600.0,523.0
1790194183923,24.52,600.0,523.0
1790194184048,24.34,600.0,523.0
1790194184181,24.34,600.0,523.0
1790194184307,24.39,600.0,523.0
1790194184429,24.39,600.0,523.0
1790194184568,24.44,600.0,523.0
1790194184706,24.44,600.0,523.0
1790194184810,24.31,600.0,523.0
1790194184951,24.39,600.0,523.0
1790194185077,24.39,600.0,523.0
1790194185209,24.28,600.0,523.0
1790194185343,24.28,600.0,523.0
1790194185475,24.34,600.0,523.0
1790194185606,24.34,600.0,523.0
1790194185747,24.38,600.0,523.0
1790194185885,24.41,600.0,523.0
1790194186025,24.41,600.0,523.0
1790194186166,24.31,600.0,523.0
1790194186303,24.35,600.0,523.0
1790194186443,24.35,600.0,523.0
1790194186576,24.34,600.0,523.0
1790194186710,24.34,600.0,523.0
1790194186806,24.28,600.0,523.0
1790194186902,24.28,600.0,523.0
1790194186997,30.28,600.0,523.0
1790194187094,30.28,600.0,523.0
1790194187189,30.28,600.0,523.0
1790194187284,30.22,600.0,523.0
1790194187380,30.22,600.0,523.0
1790194187475,30.32,600.0,523.0
1790194187571,30.32,600.0,523.0
1790194187667,30.41,600.0,523.0
1790194187763,30.41,600.0,523.0
1790194187860,30.41,600.0,523.0
1790194187955,30.52,600.0,523.0
1790194188051,30.52,600.0,523.0
1790194188147,30.28,600.0,523.0
1790194188242,30.28,600.0,523.0
1790194188338,30.41,600.0,523.0
1790194188434,30.41,600.0,523.0
1790194188530,30.41,600.0,523.0
1790194188625,30.45,600.0,523.0
1790194188721,30.45,600.0,523.0
