epoch_ms,watts,minion_mhz,minion_mv
1790194239921,24.48,600.0,523.0
1790194240036,24.48,600.0,523.0
1790194240108,24.48,600.0,523.0
1790194240179,24.48,600.0,523.0
1790194240259,24.41,600.0,523.0
1790194240393,24.41,600.0,523.0
1790194240473,24.52,600.0,523.0
1790194240553,24.52,600.0,523.0
1790194240633,24.52,600.0,523.0
1790194240774,24.44,600.0,523.0
1790194240854,24.44,600.0,523.0
1790194240934,24.48,600.0,523.0
1790194241013,24.48,600.0,523.0
1790194241139,24.53,600.0,523.0
1790194241218,24.53,600.0,523.0
1790194241297,24.53,600.0,523.0
1790194241376,24.41,600.0,523.0
1790194241502,24.41,600.0,523.0
1790194241581,24.41,600.0,523.0
1790194241661,24.41,600.0,523.0
1790194241742,24.41,600.0,523.0
1790194241871,24.17,600.0,523.0
1790194241951,24.17,600.0,523.0
1790194242031,24.48,600.0,523.0
1790194242111,24.48,600.0,523.0
1790194242243,24.48,600.0,523.0
1790194242324,24.41,600.0,523.0
1790194242404,24.41,600.0,523.0
1790194242484,24.48,600.0,523.0
1790194242619,24.48,600.0,523.0
1790194242698,24.49,600.0,523.0
1790194242779,24.49,600.0,523.0
1790194242859,24.49,600.0,523.0
1790194242990,24.41,600.0,523.0
1790194243068,24.41,600.0,523.0
1790194243146,24.44,600.0,523.0
1790194243225,24.44,600.0,523.0
1790194243357,24.44,600.0,523.0
1790194243437,24.44,600.0,523.0
1790194243516,24.44,600.0,523.0
1790194243595,24.44,600.0,523.0
1790194243738,24.44,600.0,523.0
1790194243817,24.45,600.0,523.0
1790194243896,24.45,600.0,523.0
1790194243969,24.45,600.0,523.0
1790194244090,24.44,600.0,523.0
1790194244169,24.44,600.0,523.0
1790194244250,24.44,600.0,523.0
1790194244329,24.44,600.0,523.0
1790194244463,24.44,600.0,523.0
1790194244534,24.44,600.0,523.0
1790194244612,24.44,600.0,523.0
1790194244691,24.44,600.0,523.0
1790194244820,24.39,600.0,523.0
1790194244897,24.39,600.0,523.0
1790194244976,24.44,600.0,523.0
1790194245057,24.44,600.0,523.0
1790194245190,24.47,600.0,523.0
1790194245270,24.47,600.0,523.0
1790194245349,24.47,600.0,523.0
1790194245429,24.44,600.0,523.0
1790194245562,24.44,600.0,523.0
1790194245633,24.45,600.0,523.0
1790194245712,24.45,600.0,523.0
1790194245792,24.45,600.0,523.0
1790194245923,24.44,600.0,523.0
1790194245993,24.44,600.0,523.0
1790194246057,24.44,600.0,523.0
1790194246123,24.37,600.0,523.0
1790194246219,24.37,600.0,523.0
1790194246284,24.37,600.0,523.0
1790194246348,26.9,600.0,523.0
1790194246414,26.9,600.0,522.0
1790194246510,26.9,600.0,522.0
1790194246574,26.9,600.0,522.0
1790194246639,26.9,600.0,522.0
1790194246703,26.9,600.0,522.0
1790194246800,26.93,600.0,522.0
1790194246864,26.93,600.0,522.0
1790194246929,26.93,600.0,522.0
1790194246993,26.89,600.0,522.0
1790194247089,26.89,600.0,522.0
1790194247154,26.89,600.0,522.0
1790194247218,26.89,600.0,522.0
1790194247282,27.03,600.0,522.0
1790194247378,27.03,600.0,522.0
1790194247443,27.03,600.0,522.0
1790194247507,26.99,600.0,522.0
1790194247571,26.99,600.0,522.0
1790194247667,26.99,600.0,522.0
1790194247732,26.95,600.0,522.0
1790194247796,26.95,600.0,522.0
1790194247861,26.95,600.0,522.0
1790194247956,26.96,600.0,522.0
1790194248020,26.96,600.0,522.0
1790194248085,26.96,600.0,522.0
1790194248150,26.99,600.0,522.0
1790194248246,26.99,600.0,522.0
1790194248311,26.99,600.0,522.0
1790194248375,26.99,600.0,522.0
1790194248440,26.99,600.0,522.0
1790194248535,26.99,600.0,522.0
1790194248600,27.03,600.0,522.0
1790194248664,27.03,600.0,522.0
1790194248729,27.03,600.0,522.0
1790194248825,27.17,600.0,522.0
1790194248890,27.17,600.0,522.0
1790194248955,27.17,600.0,522.0
1790194249019,27.17,600.0,522.0
1790194249115,26.99,600.0,522.0
1790194249180,26.99,600.0,522.0
1790194249244,26.99,600.0,522.0
1790194249308,26.99,600.0,522.0
1790194249404,26.99,600.0,522.0
1790194249469,26.99,600.0,522.0
1790194249534,27.03,600.0,522.0
1790194249598,27.03,600.0,522.0
1790194249694,27.03,600.0,522.0
1790194249758,27.2,600.0,522.0
1790194249822,27.2,600.0,522.0
1790194249885,27.2,600.0,522.0
1790194249981,27.09,600.0,522.0
1790194250045,27.09,600.0,522.0
1790194250109,27.09,600.0,522.0
1790194250173,26.99,600.0,522.0
1790194250270,26.99,600.0,522.0
1790194250334,26.99,600.0,522.0
1790194250399,26.93,600.0,522.0
1790194250463,26.93,600.0,522.0
1790194250559,26.93,600.0,522.0
1790194250630,24.62,600.0,522.0
1790194250702,24.62,600.0,522.0
1790194250782,24.62,600.0,523.0
1790194250916,24.54,600.0,523.0
1790194250995,24.54,600.0,523.0
1790194251075,24.52,600.0,523.0
1790194251154,24.52,600.0,523.0
1790194251283,24.52,600.0,523.0
1790194251363,24.52,600.0,523.0
1790194251442,24.52,600.0,523.0
1790194251521,24.45,600.0,523.0
1790194251622,24.45,600.0,523.0
1790194251702,24.45,600.0,523.0
1790194251781,24.54,600.0,523.0
1790194251860,24.54,600.0,523.0
1790194252000,24.52,600.0,523.0
1790194252080,24.52,600.0,523.0
1790194252159,24.52,600.0,523.0
1790194252239,24.52,600.0,523.0
1790194252370,24.52,600.0,523.0
1790194252448,24.48,600.0,523.0
1790194252528,24.48,600.0,523.0
1790194252608,24.48,600.0,523.0
1790194252747,24.52,600.0,523.0
1790194252826,24.52,600.0,523.0
1790194252905,24.44,600.0,523.0
1790194252978,24.44,600.0,523.0
1790194253110,24.44,600.0,523.0
1790194253190,24.44,600.0,523.0
1790194253271,24.44,600.0,523.0
1790194253350,24.41,600.0,523.0
1790194253491,24.41,600.0,523.0
1790194253572,24.41,600.0,523.0
1790194253643,24.41,600.0,523.0
1790194253723,24.41,600.0,523.0
1790194253845,24.41,600.0,523.0
1790194253925,24.41,600.0,523.0
1790194254005,24.44,600.0,523.0
1790194254084,24.44,600.0,523.0
1790194254211,24.48,600.0,523.0
1790194254291,24.48,600.0,523.0
1790194254370,24.48,600.0,523.0
1790194254450,24.52,600.0,523.0
1790194254583,24.52,600.0,523.0
1790194254663,24.48,600.0,523.0
1790194254742,24.48,600.0,523.0
1790194254820,24.48,600.0,523.0
1790194254957,24.48,600.0,523.0
1790194255037,24.48,600.0,523.0
1790194255116,24.41,600.0,523.0
1790194255196,24.41,600.0,523.0
1790194255327,24.48,600.0,523.0
1790194255408,24.48,600.0,523.0
1790194255487,24.48,600.0,523.0
1790194255564,24.38,600.0,523.0
1790194255661,24.38,600.0,523.0
1790194255726,24.38,600.0,523.0
1790194255790,26.56,600.0,523.0
1790194255855,26.56,600.0,522.0
1790194255951,26.56,600.0,522.0
1790194256016,26.56,600.0,522.0
1790194256081,26.56,600.0,522.0
1790194256146,26.56,600.0,523.0
1790194256242,26.4,600.0,523.0
1790194256307,26.4,600.0,523.0
1790194256371,26.4,600.0,523.0
1790194256436,26.4,600.0,522.0
1790194256531,26.62,600.0,522.0
1790194256595,26.62,600.0,522.0
1790194256659,26.62,600.0,522.0
1790194256724,26.56,600.0,522.0
1790194256820,26.56,600.0,522.0
1790194256885,26.56,600.0,522.0
1790194256949,26.56,600.0,522.0
1790194257014,26.56,600.0,523.0
1790194257109,26.56,600.0,523.0
1790194257174,26.56,600.0,523.0
1790194257239,26.56,600.0,523.0
1790194257303,26.56,600.0,522.0
1790194257399,26.59,600.0,522.0
1790194257463,26.59,600.0,522.0
1790194257528,26.59,600.0,522.0
1790194257592,26.59,600.0,523.0
1790194257688,26.59,600.0,523.0
1790194257753,26.59,600.0,523.0
1790194257817,26.59,600.0,523.0
1790194257882,26.58,600.0,522.0
1790194257977,26.58,600.0,522.0
1790194258041,26.58,600.0,522.0
1790194258106,26.64,600.0,522.0
1790194258170,26.64,600.0,522.0
1790194258265,26.7,600.0,522.0
1790194258329,26.7,600.0,522.0
1790194258394,26.7,600.0,522.0
1790194258458,26.7,600.0,522.0
1790194258552,26.62,600.0,522.0
1790194258617,26.62,600.0,522.0
1790194258682,26.62,600.0,522.0
1790194258746,26.59,600.0,523.0
1790194258842,26.59,600.0,523.0
1790194258906,26.59,600.0,523.0
1790194258970,26.62,600.0,523.0
1790194259034,26.62,600.0,522.0
1790194259130,26.62,600.0,522.0
1790194259195,26.72,600.0,522.0
1790194259260,26.72,600.0,522.0
1790194259324,26.72,600.0,522.0
1790194259420,26.59,600.0,522.0
1790194259485,26.59,600.0,522.0
1790194259550,26.59,600.0,522.0
1790194259615,26.63,600.0,522.0
1790194259711,26.63,600.0,522.0
1790194259776,26.63,600.0,522.0
1790194259840,26.59,600.0,522.0
1790194259904,26.59,600.0,522.0
1790194260000,26.59,600.0,522.0
1790194260065,24.34,600.0,522.0
1790194260130,24.34,600.0,522.0
1790194260200,24.34,600.0,523.0
1790194260320,24.44,600.0,523.0
1790194260400,24.44,600.0,523.0
1790194260479,24.44,600.0,523.0
1790194260558,24.44,600.0,523.0
1790194260659,24.44,600.0,523.0
1790194260738,24.49,600.0,523.0
1790194260818,24.49,600.0,523.0
1790194260899,24.49,600.0,523.0
1790194261036,24.47,600.0,523.0
1790194261116,24.47,600.0,523.0
1790194261195,24.41,600.0,523.0
1790194261266,24.41,600.0,523.0
1790194261397,24.52,600.0,523.0
1790194261475,24.52,600.0,523.0
1790194261554,24.52,600.0,523.0
1790194261633,24.44,600.0,523.0
1790194261770,24.44,600.0,523.0
1790194261849,24.48,600.0,523.0
1790194261928,24.48,600.0,523.0
1790194262008,24.48,600.0,523.0
1790194262129,24.38,600.0,523.0
1790194262200,24.38,600.0,523.0
1790194262280,24.41,600.0,523.0
1790194262359,24.41,600.0,523.0
1790194262493,24.41,600.0,523.0
1790194262562,24.44,600.0,523.0
1790194262642,24.44,600.0,523.0
1790194262723,24.44,600.0,523.0
1790194262839,24.48,600.0,523.0
1790194262917,24.48,600.0,523.0
1790194262997,24.48,600.0,523.0
1790194263077,24.48,600.0,523.0
1790194263213,24.48,600.0,523.0
1790194263292,24.48,600.0,523.0
1790194263371,24.48,600.0,523.0
1790194263451,24.52,600.0,523.0
1790194263581,24.52,600.0,523.0
1790194263659,24.48,600.0,523.0
1790194263736,24.48,600.0,523.0
1790194263814,24.48,600.0,523.0
1790194263953,24.48,600.0,523.0
1790194264025,24.48,600.0,523.0
1790194264105,24.48,600.0,523.0
1790194264184,24.48,600.0,523.0
1790194264308,24.49,600.0,523.0
1790194264388,24.49,600.0,523.0
1790194264466,24.49,600.0,523.0
1790194264546,24.52,600.0,523.0
1790194264671,24.52,600.0,523.0
1790194264742,24.52,600.0,523.0
1790194264821,24.49,600.0,523.0
1790194264885,24.49,600.0,523.0
1790194264985,24.49,600.0,523.0
1790194265057,24.44,600.0,523.0
1790194265122,24.44,600.0,523.0
1790194265186,24.44,600.0,523.0
1790194265282,26.67,600.0,523.0
1790194265346,26.67,600.0,523.0
1790194265410,26.67,600.0,523.0
1790194265475,26.83,600.0,522.0
1790194265571,26.83,600.0,522.0
1790194265635,26.83,600.0,522.0
1790194265700,26.85,600.0,522.0
1790194265765,26.85,600.0,523.0
1790194265861,26.85,600.0,523.0
1790194265925,26.8,600.0,523.0
1790194265989,26.8,600.0,523.0
1790194266052,26.8,600.0,523.0
1790194266149,26.8,600.0,523.0
1790194266213,26.8,600.0,523.0
1790194266278,26.8,600.0,523.0
1790194266343,26.8,600.0,523.0
1790194266437,26.82,600.0,523.0
1790194266501,26.82,600.0,523.0
1790194266566,26.82,600.0,523.0
1790194266630,26.66,600.0,523.0
1790194266725,26.66,600.0,523.0
1790194266788,26.66,600.0,523.0
1790194266853,26.72,600.0,523.0
1790194266917,26.72,600.0,523.0
1790194267011,26.72,600.0,523.0
1790194267076,26.86,600.0,523.0
1790194267140,26.86,600.0,523.0
1790194267203,26.86,600.0,523.0
1790194267297,26.85,600.0,523.0
1790194267361,26.85,600.0,523.0
1790194267426,26.85,600.0,523.0
1790194267491,26.86,600.0,523.0
1790194267587,26.86,600.0,523.0
1790194267652,26.86,600.0,523.0
1790194267716,26.9,600.0,523.0
1790194267781,26.9,600.0,523.0
1790194267877,26.9,600.0,523.0
1790194267941,26.76,600.0,523.0
1790194268006,26.76,600.0,523.0
1790194268070,26.76,600.0,523.0
1790194268167,26.85,600.0,523.0
1790194268231,26.85,600.0,523.0
1790194268296,26.85,600.0,523.0
1790194268360,26.85,600.0,523.0
1790194268455,26.88,600.0,523.0
1790194268520,26.88,600.0,523.0
1790194268583,26.88,600.0,523.0
1790194268648,26.8,600.0,523.0
1790194268742,26.8,600.0,523.0
1790194268807,26.8,600.0,523.0
1790194268872,26.86,600.0,523.0
1790194268936,26.86,600.0,523.0
