slug	uuid	repo_html	sources
et-soc1-limits-of-observability	2ea37420-67b9-484e-9d4c-581e8a9f0323	docs/reports/2026-09-20-et-soc1-limits-of-observability.html	docs/reports/sources/limits-of-observability.{body.html,data.json,script.js,meta.json}
et-soc1-heat-per-mm	5602ff62-878f-4db6-b703-02061000d9ce	docs/reports/2026-09-24-heat-per-mm.html	docs/reports/sources/heat-per-mm.{body.html,script.js,meta.json}; data docs/reports/data/2026-09-24-wire-energy/report.json
et-soc1-energy-manual	cc3cb1d6-51cf-420b-a165-7d8629904d97	docs/reports/2026-09-23-energy-manual.html	docs/reports/sources/energy-manual.{body.html,script.js,meta.json}; data docs/reports/data/2026-09-23-energy-manual/manual.json; markdown docs/energy-manual/*.md
et-soc1-dvfs-leakage	171dcd4a-5b6d-49d3-aca0-db4980fabfa5	docs/reports/2026-09-22-dvfs-leakage.html	docs/reports/sources/dvfs-leakage.{body.html,script.js,meta.json}
et-soc1-spatial-temperature-brief	bc391cfe-64e2-4f36-884c-9bbfcb267de8	(none: published page only)	(none)
et-soc1-power-temperature	acee5c6d-56c0-45e7-aa97-ce11af37bdd8	docs/reports/2026-09-20-et-soc1-power-temperature.html	docs/reports/sources/power-temperature.{body.html,script.js,meta.json}
et-soc1-horace-experiment	da445a93-7be3-42c2-b9be-4992fa4a3b62	docs/reports/2026-09-20-horace-experiment.html	docs/reports/sources/horace-experiment.{body.html,script.js,meta.json}; GIFs docs/reports/horace-*.gif
et-soc1-why-low-power	baede20c-57d9-4e01-8157-2014670dd8cf	docs/reports/2026-09-21-why-low-power.html	docs/reports/sources/why-low-power.{body.html,script.js,meta.json}
et-soc1-hot-line	ac439287-4503-42c7-88e7-b5d3e3b64b06	docs/reports/2026-09-22-hot-line.html	docs/reports/sources/hot-line.{body.html,script.js,meta.json}
2026-09-22-et-soc1-l2-mainline-starvation	49ca367f-886f-4c0a-b472-12d8fc449300	(none: published page only)	(none)
et-soc1-on-chip-relay	8678d49d-3f0c-49be-b08a-5528de8ece3c	docs/reports/2026-09-22-on-chip-relay.html	docs/reports/sources/on-chip-relay.{body.html,script.js,meta.json}
et-soc1-memory-anatomy	2bf74fd1-fd7f-4e19-8e35-6168ae42657c	docs/reports/2026-09-19-et-soc1-memory-anatomy.html	(standalone html)
et-soc1-memory-hierarchy	4b6e0a37-808d-4fc9-8001-555125733c46	docs/reports/2026-09-18-et-soc1-memory-hierarchy.html	(standalone html)
et-soc1-on-chip-communication	ab8e1b2b-de17-44f4-8645-006fa960e349	docs/reports/2026-09-18-et-soc1-on-chip-communication.html	(standalone html)
et-soc1-matmul-efficiency	590752c1-17a8-4f5d-97ef-bcf33fd6a3e7	docs/reports/2026-09-18-et-soc1-matmul-efficiency.html	(standalone html)
et-soc1-sparse-compute	5abf6014-8de0-4e82-8744-5676bac6453e	docs/reports/2026-09-18-et-soc1-sparsity.html	(standalone html)
et-soc1-testdrive	16732875-c03e-434d-a643-7a432586c7f7	docs/report/index.html	(standalone html)
et-soc1-ridge-points	dd341b0b-a52e-4e23-b8b3-101a83119133	docs/reports/2026-09-18-et-soc1-ridge-points.html	scripts/ridge-points.py
david-kanter-power-brief	f3533740-5ad9-45e1-927c-098dbbe5c210	(none: published page only)	(none)
